Metric,2024,2023,2022,2021,2020,YTD 2024,YTD 2025,LTM 2025
Revenue,365685000.0,352578000.0,12859000.0,16824000.0,188722000.0,93213000.0,97677000.0,370149000.0
% YoY Growth,3.7174752820652452,2641.8772843922543,-23.56752258678079,-91.0853000710039,,,,
Cost of Goods Sold,4224000.0,4653000.0,3110000.0,2663000.0,0.0,1079000.0,1158000.0,4303000.0
Gross Profit,361461000.0,347925000.0,9749000.0,14161000.0,188722000.0,92134000.0,96519000.0,365846000.0
% Margin,98.8449075023586,98.68029202048908,75.81460455711952,84.1714217784118,100.0,,,98.83749517086362
Operating Expenses,66847000.0,96367000.0,35654000.0,146889000.0,159540000.0,18915000.0,20792000.0,68724000.0
Adjustments,40619000.0,43158000.0,2237000.0,85583000.0,118601000.0,41817000.0,46802000.0,45604000.0
Adjusted EBITDA,87083000.0,-77075000.0,135629000.0,65461000.0,0.0,66405000.0,72103000.0,92781000.0
% Margin,23.81366476612385,-21.86041102961614,1054.7398709075355,389.0929624346172,0.0,,,98.83749517086362
Interest Expense,198042000.0,181011000.0,128969000.0,0.0,0.0,0.0,53147000.0,251189000.0
Taxes,3445000.0,1719000.0,567000.0,-118000.0,235000.0,471000.0,883000.0,3857000.0
Change in Working Capital,2807000.0,-19047000.0,-33704000.0,10231000.0,3488000.0,-8670000.0,4261000.0,15738000.0
Other,-7021000.0,-1448000.0,-13043000.0,720000.0,-19496000.0,64000.0,4656000.0,-2429000.0
Capital Expenditures,0.0,0.0,21875000.0,23929000.0,40954000.0,88393000.0,19804000.0,-68589000.0
Free Cash Flow,37855000.0,15391000.0,25792000.0,-44256000.0,-19068000.0,,,
Acq. / Disp.,5764000.0,-11447000.0,2021821000.0,157258000.0,48415000.0,-68928000.0,-9067000.0,65625000.0
Change in Debt,263584000.0,427000000.0,825000000.0,1018439000.0,0.0,90871000.0,23000000.0,195713000.0
Equity / Dividends,-50589000.0,105901000.0,266973000.0,207398000.0,0.0,12572000.0,12800000.0,-50361000.0
Other,0.0,-137000.0,-153000.0,0.0,0.0,7926000.0,3235000.0,-4691000.0
Change in Cash,-29622000.0,-1650000.0,1054696000.0,243430000.0,-201640000.0,-7565000.0,8865000.0,-13192000.0
Cash - End of Period,8346000.0,18761000.0,1442269000.0,339601000.0,98633000.0,11000000.0,17000000.0,17000000.0
Total Debt,4317439000.0,4054365000.0,1682521000.0,10000000.0,3286975000.0,2671001000.0,2869415000.0,2869415000.0
Book Equity,2344018000.0,2231253000.0,1408518000.0,-10000000.0,870969000.0,2283473000.0,2350832000.0,2350832000.0
EBITDA / Int. Exp.,,-0.42580285176039023,1.3832495334060846,0.5672530329289428,0.0,1.365487035018815,,0.3693672891726947
Total Debt / EBITDA,49.578436663872395,-52.6028543626338,12.405318921469597,0.15276271367684577,,0.0,0.0,30.926752244532825
Total Debt / Book Capital,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,54.96703508473833
Total Debt + Leases / EBITDA,49.578436663872395,-52.6028543626338,12.405318921469597,0.15276271367684577,,0.0,0.0,30.926752244532825
Total Debt + Leases / Book Capital,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,54.96703508473833
EBITDAR / Interest + Rent,0.5876708918146584,-0.02294112517736962,1.0340167325549323,1.9673991753735203,,,,0.3693672891726947
