Metric,2024,2023,2022,2021,2020,YTD 2024,YTD 2025,LTM 2025
Revenue,25034000000.0,25243000000.0,28548000000.0,30361000000.0,25306000000.0,0.0,0.0,25034000000.0
% YoY Growth,-0.8279523036089214,-11.576993134370184,-5.971476565330523,19.97549988145104,,,,
Cost of Goods Sold,12523000000.0,13168000000.0,14247000000.0,13594000000.0,11407000000.0,0.0,0.0,12523000000.0
Gross Profit,12511000000.0,12075000000.0,14301000000.0,16767000000.0,13899000000.0,0.0,0.0,12511000000.0
% Margin,49.97603259566989,47.83504337836232,50.09457755359394,55.22545370705839,54.9237335019363,,,49.97603259566989
Operating Expenses,10364000000.0,10241000000.0,10578000000.0,9610000000.0,8210000000.0,0.0,0.0,10364000000.0
Adjustments,2600000000.0,2802000000.0,2857000000.0,2402000000.0,1985000000.0,0.0,0.0,2600000000.0
Adjusted EBITDA,9937000000.0,9661000000.0,11250000000.0,12430000000.0,9779000000.0,0.0,0.0,9937000000.0
% Margin,39.69401613805225,38.271996196965496,39.407313997477935,40.94068047824512,38.6430095629495,,,49.97603259566989
Interest Expense,1390000000.0,1375000000.0,726000000.0,536000000.0,553000000.0,0.0,0.0,1390000000.0
Taxes,657000000.0,284000000.0,703000000.0,1109000000.0,850000000.0,0.0,0.0,657000000.0
Change in Working Capital,758000000.0,-505000000.0,2658000000.0,2251000000.0,417000000.0,0.0,0.0,758000000.0
Other,12000000.0,-65000000.0,-104000000.0,-694000000.0,-81000000.0,0.0,0.0,12000000.0
Capital Expenditures,1343000000.0,1392000000.0,2219000000.0,2503000000.0,1466000000.0,0.0,0.0,1343000000.0
Free Cash Flow,7267000000.0,6927000000.0,6911000000.0,6789000000.0,6815000000.0,0.0,0.0,7267000000.0
Acq. / Disp.,3132000000.0,3660000000.0,39000000.0,19395000000.0,38000000.0,0.0,0.0,3132000000.0
Change in Debt,-2403000000.0,-155000000.0,654000000.0,8911000000.0,2747000000.0,0.0,0.0,-2403000000.0
Equity / Dividends,3583000000.0,3523000000.0,3455000000.0,2395000000.0,1837000000.0,0.0,0.0,3583000000.0
Other,195000000.0,56000000.0,-9000000.0,65000000.0,-147000000.0,0.0,0.0,195000000.0
Change in Cash,-4057000000.0,-440000000.0,4046000000.0,-5845000000.0,7914000000.0,0.0,0.0,-4057000000.0
Cash - End of Period,4009000000.0,8077000000.0,8524000000.0,4477000000.0,10325000000.0,,,
Total Debt,31275000000.0,34917000000.0,34488000000.0,34870000000.0,2628000000.0,0.0,0.0,0.0
Book Equity,49584000000.0,46735000000.0,43978000000.0,40793000000.0,34507000000.0,0.0,0.0,0.0
EBITDA / Int. Exp.,7.148920863309352,7.0261818181818185,15.49586776859504,23.190298507462686,17.68354430379747,,,7.148920863309352
Total Debt / EBITDA,3.1473281674549662,3.6142221302142636,3.0656,2.8053097345132745,0.26873913488086715,,,0.0
Total Debt / Book Capital,0.0,0.0,0.0,0.0,0.0,,,
Total Debt + Leases / EBITDA,3.1473281674549662,3.6142221302142636,3.0656,2.8053097345132745,0.26873913488086715,,,0.0
Total Debt + Leases / Book Capital,0.0,0.0,0.0,0.0,0.0,,,
EBITDAR / Interest + Rent,5.831543244771057,5.517993456924755,13.528571428571428,17.226466575716234,15.150306748466258,,,7.148920863309352
