Metric,2024,2023,2022,2021,2020,YTD 2024,YTD 2025,LTM 2025
Revenue,1844176000.0,1903050000.0,1988169000.0,1822070000.0,1497333000.0,0.0,0.0,1844176000.0
% YoY Growth,-3.0936654318068366,-4.281275887512581,9.1159505397707,21.687694053360207,,,,
Cost of Goods Sold,747920000.0,766374000.0,836209000.0,752514000.0,638033000.0,0.0,0.0,747920000.0
Gross Profit,1096256000.0,1136676000.0,1151960000.0,1069556000.0,859300000.0,0.0,0.0,1096256000.0
% Margin,59.44421790544937,59.72917159296918,57.94074849773837,58.700049943196476,57.38870378199105,,,59.44421790544937
Operating Expenses,920265000.0,943517000.0,840582000.0,802469000.0,705062000.0,0.0,0.0,920265000.0
Adjustments,236534000.0,202773000.0,172987000.0,161598000.0,169171000.0,0.0,0.0,236534000.0
Adjusted EBITDA,1062887000.0,1020449000.0,1046382000.0,983305000.0,814660000.0,0.0,0.0,1062887000.0
% Margin,57.6347919070631,53.62176506134889,52.630435340255275,53.96636792219838,54.40740302925268,,,59.44421790544937
Interest Expense,89677000.0,98861000.0,48797000.0,44938000.0,49070000.0,0.0,0.0,89677000.0
Taxes,117034000.0,94009000.0,130091000.0,113350000.0,89343000.0,0.0,0.0,117034000.0
Change in Working Capital,-17173000.0,-119308000.0,276770000.0,140008000.0,108361000.0,0.0,0.0,-17173000.0
Other,-10792000.0,807000.0,2228000.0,12038000.0,-2955000.0,0.0,0.0,-10792000.0
Capital Expenditures,142481000.0,160632000.0,175921000.0,161266000.0,172384000.0,0.0,0.0,142481000.0
Free Cash Flow,619642000.0,442177000.0,435740000.0,586008000.0,618123000.0,0.0,0.0,619642000.0
Acq. / Disp.,3676000.0,-1280584000.0,77993000.0,218084000.0,-59683000.0,0.0,0.0,3676000.0
Change in Debt,-730000000.0,780000000.0,60000000.0,160000000.0,-325366000.0,-0.0,-0.0,-730000000.0
Equity / Dividends,16825000.0,-40485000.0,-583260000.0,-593287000.0,-130376000.0,0.0,0.0,16825000.0
Other,-16500000.0,-15836000.0,-13627000.0,-3549000.0,-15240000.0,0.0,0.0,-16500000.0
Change in Cash,-70655000.0,-85453000.0,-20705000.0,64539000.0,100980000.0,0.0,0.0,-70655000.0
Cash - End of Period,324421000.0,395076000.0,480529000.0,501234000.0,436695000.0,0.0,0.0,0.0
Total Debt,1626488000.0,2355513000.0,1574878000.0,1513870000.0,1356515000.0,2005761000.0,0.0,0.0
Book Equity,1828507000.0,1150341000.0,504488000.0,367554000.0,232144000.0,0.0,0.0,0.0
EBITDA / Int. Exp.,11.852392475216611,10.322058243392238,21.44357235075927,21.881369887400417,16.601997146932952,,,11.852392475216611
Total Debt / EBITDA,1.530254862464213,2.308310361419336,1.505069850207668,1.5395731741423058,1.6651302383816562,,,0.0
Total Debt / Book Capital,0.0,0.0,0.0,0.0,0.0,,,
Total Debt + Leases / EBITDA,1.530254862464213,2.308310361419336,1.505069850207668,1.5395731741423058,1.6651302383816562,,,0.0
Total Debt + Leases / Book Capital,0.0,0.0,0.0,0.0,0.0,,,
EBITDAR / Interest + Rent,6.879321698050516,5.96513156476952,8.263933184790366,8.083779356368002,6.27880246292172,,,11.852392475216611
