key,2024,2023,2022,2021,2020
CashAndCashEquivalentsAtCarryingValue,1702000000,1376000000,1216000000,1366000000,
TradeAccountsReceivableAndUnbilledServicesNet,3204000000,3381000000,2917000000,2551000000,
PrepaidExpenseCurrent,154000000,141000000,151000000,156000000,
IncomeTaxesReceivable,36000000,32000000,43000000,58000000,
MarketableSecuritiesCurrent,141000000,120000000,122000000,111000000,
OtherAssetsCurrentAndReceivables,592000000,546000000,561000000,521000000,
AssetsCurrent,5829000000,5596000000,4981000000,4763000000,
PropertyPlantAndEquipmentNet,535000000,523000000,532000000,497000000,
OperatingLeaseRightOfUseAsset,238000000,296000000,331000000,406000000,
LongTermInvestmentsExcludingEquityMethodInvestments,108000000,105000000,68000000,76000000,
EquityMethodInvestments,266000000,134000000,94000000,88000000,
Goodwill,14710000000,14567000000,13921000000,13301000000,10864000000
IntangibleAssetsNetExcludingGoodwill,4499000000,4839000000,4820000000,4943000000,
DeferredIncomeTaxAssetsNet,194000000,166000000,118000000,124000000,
DepositsAndOtherAssetsNoncurrent,520000000,455000000,472000000,491000000,
Assets,26899000000,26681000000,25337000000,24689000000,
AccountsPayableAndOtherAccruedLiabilitiesCurrent,3684000000,3564000000,3316000000,2981000000,
ContractWithCustomerLiabilityCurrent,1779000000,1799000000,1797000000,1825000000,
AccruedIncomeTaxesCurrent,156000000,116000000,161000000,137000000,
LongTermDebtCurrent,1145000000,718000000,152000000,91000000,
OtherLiabilitiesCurrent,193000000,294000000,152000000,207000000,
LiabilitiesCurrent,6957000000,6491000000,5578000000,5241000000,
LongTermDebtNoncurrent,12838000000,12955000000,12595000000,12034000000,
DeferredIncomeTaxLiabilitiesNet,196000000,202000000,464000000,410000000,
OperatingLeaseLiabilityNoncurrent,173000000,223000000,264000000,313000000,
OtherLiabilitiesNoncurrent,668000000,698000000,671000000,649000000,
Liabilities,20832000000,20569000000,19572000000,18647000000,
CommonStocksIncludingAdditionalPaidInCapital,11143000000,11028000000,10898000000,10777000000,
RetainedEarningsAccumulatedDeficit,6065000000,4692000000,3334000000,2243000000,
TreasuryStockCommonValue,10103000000,8741000000,7740000000,6572000000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1038000000,-867000000,-727000000,-406000000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,6067000000,6112000000,5765000000,6042000000,3000000
LiabilitiesAndStockholdersEquity,26899000000,26681000000,25337000000,24689000000,
