key,2024,2023,2022,2021,2020
ProfitLoss,1373000000,1358000000,1091000000,971000000,308000000
DepreciationDepletionAndAmortization,1114000000,1125000000,1130000000,1264000000,1287000000
AmortizationOfFinancingCostsAndDiscounts,21000000,18000000,15000000,17000000,18000000
ShareBasedCompensation,206000000,217000000,194000000,170000000,95000000
GainLossOnSaleOfPropertyPlantEquipment,0,0,10000000,0,0
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,5000000,0,-12000000,6000000,7000000
GainLossOnSaleOfInvestments,22000000,20000000,-27000000,16000000,25000000
DeferredIncomeTaxExpenseBenefit,-129000000,-269000000,-115000000,-138000000,-176000000
IncreaseDecreaseInReceivables,-182000000,388000000,421000000,138000000,-255000000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-7000000,-34000000,-7000000,15000000,146000000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,115000000,267000000,427000000,244000000,253000000
IncreaseDecreaseInContractWithCustomerUnearnedIncome,9000000,-29000000,31000000,591000000,180000000
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,-155000000,-164000000,-128000000,-2000000,-83000000
NetCashProvidedByUsedInOperatingActivities,2716000000,2149000000,2260000000,2942000000,1959000000
PaymentsToAcquireProductiveAssets,602000000,649000000,674000000,640000000,616000000
PaymentsToAcquireBusinessesNetOfCashAcquired,735000000,876000000,1315000000,1458000000,177000000
PaymentsForProceedsFromMarketableSecurities,0,6000000,5000000,10000000,9000000
PaymentsToAcquireEquityMethodInvestmentsAndProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,132000000,39000000,20000000,5000000,-10000000
PaymentsForProceedsFromInvestments,2000000,38000000,0,-5000000,2000000
PaymentsForProceedsFromOtherInvestingActivities,-2000000,-5000000,-8000000,-5000000,2000000
NetCashProvidedByUsedInInvestingActivities,-1444000000,-1603000000,-2006000000,-2103000000,-796000000
ProceedsFromIssuanceOfDebt,0,4000000000,1250000000,1951000000,1591000000
PaymentsOfDebtIssuanceCosts,1000000,50000000,5000000,40000000,33000000
RepaymentsOfDebt,172000000,2873000000,634000000,2091000000,864000000
ProceedsFromLinesOfCredit,1685000000,2384000000,2350000000,810000000,1250000000
RepaymentsOfLinesOfCredit,960000000,2709000000,2025000000,600000000,1635000000
PaymentsForProceedsFromStockOptionsExercised,64000000,61000000,71000000,59000000,44000000
PaymentsForRepurchaseOfCommonStock,1350000000,992000000,1168000000,406000000,447000000
PaymentsOfDistributionsToAffiliates,,,0,0,13000000
PaymentsToMinorityShareholders,,0,0,758000000,0
PaymentForContingentConsiderationLiabilityFinancingActivities,16000000,81000000,26000000,42000000,22000000
NetCashProvidedByUsedInFinancingActivities,-878000000,-382000000,-329000000,-1235000000,-217000000
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-68000000,-4000000,-75000000,-52000000,31000000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,326000000,160000000,-150000000,-448000000,977000000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,1702000000,1376000000,1216000000,1366000000,1814000000
ProceedsFromSaleOfPropertyPlantAndEquipment,25000000,0,0,,
