key,2024,2023,2022,2021,2020
RevenueFromContractWithCustomerExcludingAssessedTax,8527000000,8395000000,7921000000,13874000000,11359000000
CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,10030000000,9745000000,9382000000,9233000000,7500000000
SellingGeneralAndAdministrativeExpense,1992000000,2053000000,2071000000,1964000000,1789000000
DepreciationDepletionAndAmortization,1114000000,1125000000,1130000000,1264000000,1287000000
RestructuringCharges,67000000,84000000,28000000,20000000,52000000
OperatingIncomeLoss,2202000000,1977000000,1799000000,1393000000,731000000
InvestmentIncomeInterest,47000000,36000000,13000000,6000000,6000000
InterestExpense,670000000,672000000,416000000,375000000,416000000
GainsLossesOnExtinguishmentOfDebt,0,-6000000,0,-26000000,-13000000
OtherNonoperatingIncomeExpense,90000000,124000000,-33000000,130000000,65000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1669000000,1459000000,1363000000,1128000000,373000000
IncomeTaxExpenseBenefit,301000000,101000000,260000000,163000000,72000000
IncomeLossFromContinuingOperationsAfterIncomeTaxesAndBeforeEquityInEarningsOfUnconsolidatedAffiliates,1368000000,1358000000,1103000000,965000000,301000000
IncomeLossFromEquityMethodInvestments,5000000,0,-12000000,6000000,7000000
ProfitLoss,1373000000,1358000000,1091000000,971000000,308000000
NetIncomeLossAttributableToNoncontrollingInterest,,0,0,5000000,29000000
NetIncomeLoss,,1358000000,1091000000,966000000,279000000
EarningsPerShareBasic,7.57,7.39,5.82,5.05,1.46
EarningsPerShareDiluted,7.49,7.29,5.72,4.95,1.43
WeightedAverageNumberOfSharesOutstandingBasic,181300000,183800000,187600000,191400000,191300000
WeightedAverageNumberOfDilutedSharesOutstanding,183400000,186300000,190600000,195000000.0,195000000.0
