key,2024-03-31,2023-12-31,2023-09-30,2023-03-31,2022-12-31,2022-09-30
CashAndCashEquivalentsAtCarryingValue,1444000000,1376000000,,,,
TradeAccountsReceivableAndUnbilledServicesNet,3426000000,3381000000,,,,
PrepaidExpenseCurrent,173000000,141000000,,,,
IncomeTaxesReceivable,35000000,32000000,,,,
MarketableSecuritiesCurrent,158000000,146000000,,,,
OtherAssetsCurrentAndReceivables,442000000,546000000,,,,
AssetsCurrent,5651000000,5596000000,,,,
PropertyPlantAndEquipmentNet,513000000,523000000,,,,
OperatingLeaseRightOfUseAsset,278000000,296000000,,,,
LongTermInvestmentsExcludingEquityMethodInvestments,109000000,105000000,,,,
EquityMethodInvestments,154000000,134000000,,,,
Goodwill,103000000,152000000,,,,
IntangibleAssetsNetExcludingGoodwill,4725000000,4839000000,,,,
DeferredIncomeTaxAssetsNet,152000000,166000000,,,,
DepositsAndOtherAssetsNoncurrent,476000000,455000000,,,,
Assets,26574000000,26681000000,,,,
AccountsPayableAndOtherAccruedLiabilitiesCurrent,3455000000,3564000000,,,,
ContractWithCustomerLiabilityCurrent,1914000000,1799000000,,,,
AccruedIncomeTaxesCurrent,155000000,116000000,,,,
LongTermDebtCurrent,717000000,718000000,,,,
OtherLiabilitiesCurrent,207000000,294000000,,,,
LiabilitiesCurrent,6448000000,6491000000,,,,
LongTermDebtNoncurrent,12819000000,12955000000,,,,
DeferredIncomeTaxLiabilitiesNet,164000000,202000000,,,,
OperatingLeaseLiabilityNoncurrent,204000000,223000000,,,,
OtherLiabilitiesNoncurrent,595000000,698000000,,,,
Liabilities,20230000000,20569000000,,,,
CommitmentsAndContingencies,,,,,,
CommonStocksIncludingAdditionalPaidInCapital,11016000000,11028000000,,,,
RetainedEarningsAccumulatedDeficit,4980000000,4692000000,,,,
TreasuryStockCommonValue,8741000000,8741000000,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-911000000,-867000000,,,,
StockholdersEquity,-911000000,-867000000,,,,
LiabilitiesAndStockholdersEquity,26574000000,26681000000,,,,
