key,2024-03-31,2023-12-31,2023-09-30,2023-03-31,2022-12-31,2022-09-30
ProfitLoss,288000000,,288000000,289000000,,289000000
DepreciationDepletionAndAmortization,264000000,,,253000000,,
AmortizationOfFinancingCostsAndDiscounts,5000000,,,4000000,,
ShareBasedCompensation,56000000,,,75000000,,
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,-3000000,,,-2000000,,
GainLossOnSaleOfInvestments,12000000,,,4000000,,
DeferredIncomeTaxExpenseBenefit,-66000000,,,-27000000,,
IncreaseDecreaseInAccountsReceivableUnbilledServicesAndUnearnedIncome,-65000000,,,107000000,,
IncreaseDecreaseInOtherOperatingCapitalNet,81000000,,,68000000,,
NetCashProvidedByUsedInOperatingActivities,522000000,,,417000000,,
PaymentsToAcquireProductiveAssets,145000000,,,164000000,,
PaymentsToAcquireBusinessesNetOfCashAcquired,142000000,,,18000000,,
PaymentsToAcquireMarketableSecurities,1000000,,,4000000,,
PaymentsToAcquireEquityMethodInvestmentsAndProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,24000000,,,7000000,,
PaymentsForProceedsFromInvestmentsExcludingMarketableSecurities,2000000,,,36000000,,
PaymentsForProceedsFromOtherInvestingActivities,0,,,-7000000,,
NetCashProvidedByUsedInInvestingActivities,-314000000,,,-222000000,,
RepaymentsOfDebtAndCapitalLeaseObligations,43000000,,,39000000,,
ProceedsFromLinesOfCredit,275000000,,,475000000,,
RepaymentsOfLinesOfCredit,275000000,,,100000000,,
PaymentsForStockOptionsExercised,60000000,,,58000000,,
PaymentsForRepurchaseOfCommonStock,0,,,129000000,,
PaymentForContingentConsiderationLiabilityFinancingActivities,3000000,,,62000000,,
NetCashProvidedByUsedInFinancingActivities,-106000000,,,87000000,,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-34000000,,,-4000000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,68000000,,,278000000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,1444000000,1376000000,,1494000000,1216000000,
