key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
CashAndCashEquivalentsAtCarryingValue,1740000000,1702000000,,
TradeAccountsReceivableAndUnbilledServicesNet,3268000000,3204000000,,
PrepaidExpenseCurrent,166000000,154000000,,
IncomeTaxesReceivable,43000000,36000000,,
MarketableSecuritiesCurrent,167000000,170000000,,
OtherAssetsCurrentAndReceivables,558000000,592000000,,
AssetsCurrent,5911000000,5829000000,,
PropertyPlantAndEquipmentNet,533000000,535000000,,
OperatingLeaseRightOfUseAsset,235000000,238000000,,
LongTermInvestmentsExcludingEquityMethodInvestments,130000000,108000000,,
EquityMethodInvestments,253000000,266000000,,
Goodwill,98000000,145000000,,
IntangibleAssetsNetExcludingGoodwill,4503000000,4499000000,,
DeferredIncomeTaxAssetsNet,245000000,194000000,,
DepositsAndOtherAssetsNoncurrent,485000000,520000000,,
Assets,27322000000,26899000000,,
AccountsPayableAndOtherAccruedLiabilitiesCurrent,3559000000,3684000000,,
ContractWithCustomerLiabilityCurrent,1940000000,1779000000,,
AccruedIncomeTaxesCurrent,139000000,156000000,,
LongTermDebtCurrent,1222000000,1145000000,,
OtherLiabilitiesCurrent,319000000,193000000,,
LiabilitiesCurrent,7179000000,6957000000,,
LongTermDebtNoncurrent,13108000000,12838000000,,
DeferredIncomeTaxLiabilitiesNet,197000000,196000000,,
OperatingLeaseLiabilityNoncurrent,177000000,173000000,,
OtherLiabilitiesNoncurrent,676000000,668000000,,
Liabilities,21337000000,20832000000,,
CommitmentsAndContingencies,,,,
CommonStocksIncludingAdditionalPaidInCapital,11173000000,11143000000,,
RetainedEarningsAccumulatedDeficit,6314000000,6065000000,,
TreasuryStockCommonValue,10532000000,10103000000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-978000000,-1038000000,,
StockholdersEquity,-978000000,-1038000000,,
MinorityInterest,8000000,0,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,8000000,0,6344000000,6112000000
LiabilitiesAndStockholdersEquity,27322000000,26899000000,,
