key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
ProfitLoss,249000000,,0,
DepreciationDepletionAndAmortization,265000000,,264000000,
AmortizationOfFinancingCostsAndDiscounts,5000000,,5000000,
ShareBasedCompensation,72000000,,56000000,
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,-13000000,,-3000000,
GainLossOnSaleOfInvestments,-1000000,,12000000,
DeferredIncomeTaxExpenseBenefit,-41000000,,-66000000,
IncreaseDecreaseInAccountsReceivableUnbilledServicesAndUnearnedIncome,-128000000,,-65000000,
IncreaseDecreaseInOtherOperatingCapitalNet,124000000,,81000000,
NetCashProvidedByUsedInOperatingActivities,568000000,,522000000,
PaymentsToAcquireProductiveAssets,142000000,,145000000,
PaymentsToAcquireBusinessesNetOfCashAcquired,134000000,,142000000,
PaymentsForProceedsFromInvestments,-2000000,,1000000,
PaymentsToAcquireEquityMethodInvestmentsAndProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,13000000,,24000000,
PaymentsForProceedsFromInvestmentsExcludingMarketableSecurities,19000000,,2000000,
PaymentsForProceedsFromOtherInvestingActivities,-1000000,,0,
NetCashProvidedByUsedInInvestingActivities,-305000000,,-314000000,
ProceedsFromIssuanceOfDebt,1985000000,,0,
PaymentsOfDebtIssuanceCosts,6000000,,0,
RepaymentsOfDebtAndCapitalLeaseObligations,2096000000,,43000000,
ProceedsFromLinesOfCredit,275000000,,275000000,
RepaymentsOfLinesOfCredit,0,,275000000,
PaymentsForStockOptionsExercised,35000000,,60000000,
PaymentsForRepurchaseOfCommonStock,375000000,,0,
PaymentForContingentConsiderationLiabilityFinancingActivities,6000000,,3000000,
NetCashProvidedByUsedInFinancingActivities,-258000000,,-106000000,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,33000000,,-34000000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,38000000,,68000000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,1740000000,1702000000,1444000000,1376000000
