key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,181000000,,189000000,
CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,156000000,,160000000,
SellingGeneralAndAdministrativeExpense,467000000,,466000000,
DepreciationDepletionAndAmortization,265000000,,264000000,
RestructuringCharges,29000000,,15000000,
OperatingIncomeLoss,496000000,,506000000,
InvestmentIncomeInterest,11000000,,11000000,
InterestExpense,165000000,,166000000,
GainsLossesOnExtinguishmentOfDebt,-4000000,,0,
OtherNonoperatingIncomeExpense,-15000000,,-11000000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,323000000,,340000000,
IncomeTaxExpenseBenefit,61000000,,49000000,
IncomeLossFromContinuingOperationsAfterIncomeTaxesAndBeforeEquityInEarningsOfUnconsolidatedAffiliates,262000000,,291000000,
IncomeLossFromEquityMethodInvestments,-13000000,,-3000000,
ProfitLoss,249000000,,0,
NetIncomeLoss,249000000,,288000000,
EarningsPerShareBasic,1.42,,1.58,
EarningsPerShareDiluted,1.40,,1.56,
WeightedAverageNumberOfSharesOutstandingBasic,175700000,,181900000,
WeightedAverageNumberOfDilutedSharesOutstanding,177400000,,184300000,
