key,2024,2023,2022,2021,2020
RealEstateInvestmentPropertyExcludingRealEstateHeldForSaleAtCost,6363936000,6259212000,6615243000,6462355000,
RealEstateInvestmentPropertyExcludingRealEstateHeldForSaleAccumulatedDepreciation,740957000,582760000,425034000,243475000,
RealEstateInvestmentPropertyExcludingRealEstateHeldForSaleNet,5622979000,5676452000,6190209000,6218880000,
RealEstateHeldforsale,110112000,296334000,35777000,61560000,
RealEstateHeldForDevelopmentAndSaleNet,116861000,98365000,105518000,41777000,
CashAndCashEquivalentsAtCarryingValue,21228000,22852000,16084000,35972000,8751000
RestrictedCashAndCashEquivalentsAtCarryingValue,22224000,27880000,27933000,29699000,
EquityMethodInvestments,91975000,89044000,80220000,24999000,
OtherAssets,39596000,39245000,34846000,38052000,
DerivativeAssets,29300000,29937000,41109000,2488000,
IntangibleAssetsNetExcludingGoodwill,3644000,66000,399000,53269000,
Assets,6057919000,6280175000,6532095000,6506696000,
LongTermDebtExcludingIndebtednessAssociatedWithRealEstateHeldForSale,2274651000,2426788000,2631645000,2705336000,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,94670000,109074000,109677000,106332000,
InterestPayableCurrentAndNoncurrent,8630000,7917000,7713000,7175000,
DividendsPayableCurrentAndNoncurrent,37827000,36858000,32189000,16792000,
DerivativeLiabilities,,,0,11896000,
OtherLiabilities,8035000,9723000,13004000,17089000,
Liabilities,2482845000,2712981000,2794228000,2864620000,
PreferredStockValue,0,0,0,0,
CommonStockValue,2308000,2247000,2241000,2208000,
AdditionalPaidInCapitalCommonStock,3868006000,3751942000,3751056000,3678903000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,26065000,25513000,35102000,-11940000,
RetainedEarningsAccumulatedDeficit,-454104000,-348405000,-191735000,-188410000,
StockholdersEquity,3442275000,3431297000,3596664000,3480761000,
MinorityInterest,132799000,135897000,141203000,161315000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,3575074000,3567194000,3737867000,3642076000,0
LiabilitiesAndStockholdersEquity,6057919000,6280175000,6532095000,6506696000,
IndebtednessAssociatedWithRealEstateHeldForSaleNet,59032000,122621000,0,,
