key,2024,2023,2022,2021,2020
ProfitLoss,40033000,-17807000,120659000,45529000,14877000
DepreciationAndAmortization,220854000,218968000,252849000,76909000,60687000
AccretionAmortizationOfDiscountsAndPremiumsInvestments,9167000,10899000,11005000,501000,0
AmortizationOfFinancingCosts,2795000,3290000,3729000,1640000,1448000
ShareBasedCompensation,7077000,7658000,7893000,7227000,5564000
GainsLossesOnSalesOfInvestmentRealEstate,-9862000,-66547000,111756000,87671000,7554000
GainsLossesOnExtinguishmentOfDebt,-677000,-124000,0,-10261000,0
AmortizationOrAdjustmentsRelatedToDerivativeInstruments,1185000,1304000,1281000,1274000,1200000
PolicyholderBenefitsAndClaimsIncurredNetPropertyCasualtyAndLiabilityGainLoss,,-925000,8866000,-359000,-711000
IncomeLossFromEquityMethodInvestments,347000,-4488000,-2169000,0,0
OtherNoncashIncomeExpense,-1000,-1340000,1059000,0,0
IncreaseDecreaseInOtherOperatingAssets,7919000,8062000,33000,523000,2428000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-7091000,-3228000,-2495000,-3633000,754000
IncreaseDecreaseInInterestPayableNet,713000,-79000,538000,2085000,-182000
IncreaseDecreaseInOtherOperatingLiabilities,-1255000,-2399000,-4367000,-699000,-118000
NetCashProvidedByUsedInOperatingActivities,259753000,262170000,249537000,52257000,74959000
PaymentsToAcquireRealEstate,238560000,0,201777000,139516000,145278000
PaymentsToAcquireBusinessesNetOfCashAcquired,,0,0,186122000,0
PaymentsToAcquireRealEstateAndRealEstateJointVentures,11648000,26003000,60796000,24999000,0
ProceedsFromDistributionsReceivedFromRealEstatePartnerships,9064000,0,3406000,0,0
ProceedsFromSaleOfRealEstateHeldforinvestment,390884000,230789000,253560000,177486000,58137000
PaymentsToAcquireProductiveAssetsExcludingAcquisitionOfRealEstateProperties,118255000,146629000,83979000,42973000,37399000
PaymentsToDevelopRealEstateAssets,56809000,66223000,61760000,0,0
ProceedsFromInsuranceSettlementInvestingActivities,4719000,4209000,15580000,0,0
NetCashProvidedByUsedInInvestingActivities,-20605000,-1712000,-135766000,-216124000,-124540000
ProceedsFromIssuanceOfCommonStock,111304000,,48651000,317024000,148213000
ProceedsFromUnsecuredLinesOfCredit,,270000000,707500000,594500000,195501000
RepaymentsOfLongTermLinesOfCredit,490652000,250341000,718525000,302301000,197000000
RepaymentsOfFirstMortgageBond,314139000,129596000,53365000,312877000,39785000
PaymentsReimbursementsForDeferredFinancingCosts,1849000,60000,1670000,14889000,50000
PaymentsOfDividendsCommonStock,144021000,134872000,105829000,49832000,56146000
PaymentsOfDividendsMinorityInterest,3803000,3590000,2743000,294000,480000
PaymentsOfDebtExtinguishmentCosts,666000,124000,0,12481000,0
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,2602000,4739000,5969000,2927000,1490000
PaymentsForDerivativeInstrumentFinancingActivities,0,0,3475000,0,0
NetCashProvidedByUsedInFinancingActivities,-246428000,-253743000,-135425000,215923000,48763000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-7280000,6715000,-21654000,52056000,-818000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,43452000,50732000,44017000,65671000,13615000
CashAndCashEquivalentsAtCarryingValue,21228000,22852000,16084000,35972000,8751000
RestrictedCash,22224000,27880000,27933000,29699000,4864000
InterestPaidNet,80615000,96022000,96383000,29227000,34105000
ConversionOfStockAmountIssued1,33000,1015000,21460000,858000,1372000
DividendsCash,37827000,36858000,32189000,16792000,12257000
AssetsAcquiredInMerger,,0,0,4770698000,0
LiabilitiesAssumedInMerger,,0,0,1886791000,0
StockIssued1,,0,0,2438177000,0
NonCashOrPartNonCashAcquisitionNonCashFinancialOrEquityInstrumentConsiderationValue,,0,0,157200000,0
InitialMeasurementOfOperatingLeaseRightOfUseAssets,0,0,753000,672000,169000
InitialMeasurementOfOperatingLeaseLiabilities,0,0,753000,672000,169000
CapitalExpendituresIncurredButNotYetPaid,12499000,20122000,18889000,4603000,413000
CashAcquiredInExcessOfPaymentsToAcquireBusiness,0,2145000,0,0,
PaymentsOfStockIssuanceCosts,,421000,,,
RealEstateUnderDevelopmentPlacedInService,33879000,77520000,0,0,
AssetsRecognizedUponConsolidationOfPreviouslyUnconsolidatedRealEstateEntity,0,52878000,0,0,
LiabilitiesRecognizedUponConsolidationOfPreviouslyUnconsolidatedRealEstateEntity,0,39931000,0,0,
DerecognitionOfEquityMethodInvestmentUponConsolidationOfPreviouslyUnconsolidatedRealEstateEntity,0,12691000,0,0,
ValueOfNoncontrollingInterestUponConsolidationOfPreviouslyUnconsolidatedRealEstateEntity,0,256000,0,0,
PolicyholderBenefitsAndClaimsIncurredNonCashCasualtyGainsLoss,-3212000,-925000,8866000,,
ProceedsFromUnsecuredLinesOfCreditAndDebt,450000000,270000000,707500000,,
ProceedsFromUnsecuredNotesPayable,150000000,0,0,,
