key,2024,2023,2022,2021,2020
RentalAndOtherPropertyRevenue,638913000,659841000,627414000,249492000,211167000
OtherIncome,1122000,1142000,1111000,760000,739000
Revenues,640035000,660983000,628525000,250252000,211906000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,235588000,244330000,232275000,93252000,82978000
CostOfPropertyRepairsAndMaintenance,29923000,27081000,24033000,9539000,8494000
GeneralAndAdministrativeExpense,24245000,22766000,26260000,18610000,15095000
DepreciationAndAmortization,220854000,218968000,252849000,76909000,60687000
AbandonedDealCosts,,,0,0,130000
PolicyholderBenefitsAndClaimsIncurredNetPropertyCasualtyAndLiabilityGainLoss,-3935000,-925000,8866000,-359000,-711000
CostsAndExpenses,514545000,514070000,526551000,198669000,168095000
InterestExpense,,89921000,86955000,36401000,36488000
GainsLossesOnSalesOfInvestmentRealEstate,-9862000,-66547000,111756000,87671000,7554000
GainsLossesOnExtinguishmentOfDebt,-677000,-124000,0,-10261000,0
MergerAndIntegrationCosts,0,0,5505000,47063000,0
OtherNonoperatingIncomeExpense,-1000,-427000,1558000,0,0
IncomeLossFromEquityMethodInvestments,347000,-4488000,-2169000,0,0
ProfitLoss,40033000,-17807000,120659000,45529000,14877000
NetIncomeLossAttributableToNoncontrollingInterest,742000,-580000,3410000,940000,109000
NetIncomeLoss,39291000,-17227000,117249000,44589000,14768000
EarningsPerShareBasic,0.17,-0.08,0.53,0.41,0.16
EarningsPerShareDiluted,0.17,-0.08,0.53,0.41,0.16
WeightedAverageNumberOfSharesOutstandingBasic,224798958,224414443,221965460,108552185,93660086
WeightedAverageNumberOfDilutedSharesOutstanding,225584306,224414443,223119937,109831520,94688440
RestructuringCosts,0,3213000,0,0,
InterestExpenseNonoperating,76141000,89921000,86955000,,
