key,2024-03-31,2023-12-31,2023-03-31,2022-12-31
RealEstateInvestmentPropertyExcludingRealEstateHeldForSaleAtCost,6183009000,6259212000,,
RealEstateInvestmentPropertyExcludingRealEstateHeldForSaleAccumulatedDepreciation,622713000,582760000,,
RealEstateInvestmentPropertyExcludingRealEstateHeldForSaleNet,5560296000,5676452000,,
RealEstateHeldforsale,70240000,296334000,,
RealEstateHeldForDevelopmentAndSaleNet,77520000,77520000,,
CashAndCashEquivalentsAtCarryingValue,21275000,22852000,12448000,
RestrictedCashAndCashEquivalentsAtCarryingValue,20625000,27880000,,
EquityMethodInvestments,27720000,27258000,,
OtherAssets,34379000,39245000,,
DerivativeAssets,38845000,29937000,,
IntangibleAssetsNetExcludingGoodwill,0,66000,,
Assets,5972848000,6280175000,,
LongTermDebtExcludingIndebtednessAssociatedWithRealEstateHeldForSale,2212273000,2426788000,,
IndebtednessAssociatedWithRealEstateHeldForSaleNet,64825000,122621000,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,83678000,109074000,,
InterestPayableCurrentAndNoncurrent,7145000,7917000,,
DividendsPayableCurrentAndNoncurrent,36896000,36858000,,
OtherLiabilities,8928000,9723000,,
Liabilities,2413745000,2712981000,,
PreferredStockValue,0,0,,
CommonStockValue,2251000,2247000,,
AdditionalPaidInCapitalCommonStock,3753833000,3751942000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,34501000,25513000,,
RetainedEarningsAccumulatedDeficit,-367015000,-348405000,,
StockholdersEquity,3423570000,3431297000,,
MinorityInterest,135533000,135897000,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,135533000,135897000,3704935000,3737867000
LiabilitiesAndStockholdersEquity,5972848000,6280175000,,
