key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
AmortizationRelatedToDerivativeInstruments,-257000,,-316000,
DepositsForPendingRealEstateAcquisitions,1623000,,-0,
PaymentsOfProceedsFromDebtExtinguishment,-0,,663000,
PaymentsToAcquirePropertyPlantAndEquipmentExcludingRealEstate,21451000,,24561000,
PolicyholderBenefitsAndClaimsIncurredNoncashCasualtyGainsLoss,-400000,,-1184000,
AccretionAmortizationOfDiscountsAndPremiumsInvestments,2029000,,2395000,
AmortizationOfFinancingCosts,895000,,697000,
CashAndCashEquivalentsAtCarryingValue,29055000,21228000,21275000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,48334000,,41900000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,48334000,43452000,41900000,50732000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,4882000,,-8832000,
DepreciationDepletionAndAmortization,58725000,,53721000,
GainsLossesOnExtinguishmentOfDebt,-67000,,203000,
GainsLossesOnSalesOfInvestmentRealEstate,1496000,,10530000,
IncomeLossFromEquityMethodInvestments,-590000,,-829000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-11904000,,-20779000,
IncreaseDecreaseInInterestPayableNet,1506000,,-772000,
IncreaseDecreaseInOtherOperatingAssets,-1058000,,-970000,
IncreaseDecreaseInOtherOperatingLiabilities,-282000,,-332000,
NetCashProvidedByUsedInFinancingActivities,-65924000,,-308292000,
NetCashProvidedByUsedInInvestingActivities,10441000,,255403000,
NetCashProvidedByUsedInOperatingActivities,60365000,,44057000,
OtherNoncashIncomeExpense,-103000,,-1000,
PaymentsOfDividendsCommonStock,37185000,,36149000,
PaymentsOfDividendsMinorityInterest,951000,,951000,
PaymentsOfFinancingCosts,5549000,,242000,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,1240000,,1598000,
PaymentsToAcquireEquityMethodInvestments,10255000,,1272000,
PaymentsToAcquireRealEstate,59500,,-0,
PaymentsToDevelopRealEstateAssets,7120000,,14095000,
ProceedsFromSaleOfRealEstateHeldforinvestment,109203000,,292670000,
ProfitLoss,8526000,,17961000,
RepaymentsOfDebt,198000000,,220152000,
RepaymentsOfFirstMortgageBond,74425000,,142537000,
RestrictedCash,19279000,22224000,20625000,
ShareBasedCompensation,3949000,,3389000,
ProceedsFromInsuranceSettlementInvestingActivities,324000,,2661000,
ProceedsFromPaymentsForIssuanceOfCommonStock,50012000,,0,
ProceedsFromUnsecuredLinesOfCredit,201414000,,94000000,
