key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
CostsAndExpenses,134105000,,131873000,
InterestExpenseNonoperating,19348000,,20603000,
NetIncomeLoss,8354000,,17577000,
NetIncomeLossAttributableToNoncontrollingInterest,172000,,384000,
ProfitLoss,8526000,,17961000,
Revenues,160905000,,160331000,
OperatingLeaseLeaseIncome,160905000,,160331000,
OtherIncome,338000,,203000,
CostOfPropertyOperatingExpense,59263000,,59971000,
CostOfPropertyRepairsAndMaintenance,7826000,,7499000,
GeneralAndAdministrativeExpense,8406000,,8381000,
DepreciationAndAmortization,58725000,,53721000,
UnusualOrInfrequentItemNetGainLoss,115000,,-2301000,
GainsLossesOnSalesOfInvestmentRealEstate,1496000,,10530000,
GainsLossesOnExtinguishmentOfDebt,-67000,,203000,
OtherNonoperatingIncomeExpense,-103000,,-1000,
IncomeLossFromEquityMethodInvestments,-590000,,-829000,
EarningsPerShareBasic,0.04,,0.08,
EarningsPerShareDiluted,0.04,,0.08,
WeightedAverageNumberOfSharesOutstandingBasic,230723583,,224627115,
WeightedAverageNumberOfDilutedSharesOutstanding,231828484,,225226270,
