key,2024,2023,2022,2021,2020
CashAndCashEquivalentsAtCarryingValue,49461000,44605000,52619000,99788000,
AccountsReceivableNetCurrent,334798000,301189000,285039000,269917000,
OtherAssetsCurrent,41009000,27392000,26894000,18902000,
AssetsCurrent,425268000,373186000,364552000,388607000,
PropertyPlantAndEquipmentGross,4574894000,4274831000,4109146000,3782288000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,2974085000,2708361000,2609447000,2445014000,
PropertyPlantAndEquipmentNet,1600809000,1566470000,1499699000,1337274000,
OperatingLeaseRightOfUseAsset,1355231000,1315433000,1271631000,1224672000,
FinanceLeaseRightOfUseAsset,8331000,11184000,14037000,16890000,
Goodwill,2035082000,2035271000,2035269000,1936426000,
FiniteLivedIntangibleAssetsNet,1062601000,1171434000,1206625000,1045177000,
OtherAssetsNoncurrent,99227000,90644000,83401000,98448000,
Assets,6586549000,6563622000,6475214000,6047494000,
AccountsPayableCurrent,21586000,18238000,19643000,16429000,
LongTermDebtCurrent,249806000,250018000,249785000,174778000,
OperatingLeaseLiabilityCurrent,218108000,210568000,205838000,198286000,
FinanceLeaseLiabilityCurrent,1331000,1331000,1331000,1331000,
AccruedLiabilitiesCurrent,133943000,107195000,117593000,135038000,
ContractWithCustomerLiabilityCurrent,153700000,126547000,131847000,137103000,
LiabilitiesCurrent,778474000,713897000,726037000,662965000,
LongTermDebtNoncurrent,2961058000,3091109000,3063020000,2838817000,
OperatingLeaseLiabilityNoncurrent,1114407000,1075285000,1035655000,995356000,
FinanceLeaseLiabilityNoncurrent,13283000,14614000,15945000,17277000,
DeferredIncomeTaxLiabilitiesNet,8006000,12047000,9651000,6416000,
AssetRetirementObligationsNoncurrent,614713000,397991000,390442000,269367000,222876000
OtherLiabilitiesNoncurrent,48588000,41891000,39090000,40207000,
Liabilities,5538529000,5346834000,5279840000,4830405000,
PreferredStockValue,0,0,0,0,
CommonStockValue,89000,88000,88000,88000,
AdditionalPaidInCapitalCommonStock,2159292000,2103282000,2061671000,2001399000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-2954000,-428000,-659000,855000,
RetainedEarningsAccumulatedDeficit,-1036582000,-819235000,-804382000,-734415000,
TreasuryStockCommonValue,72688000,67347000,61358000,50852000,
StockholdersEquity,,,1195374000,1217089000,0
LiabilitiesAndStockholdersEquity,6586549000,6563622000,6475214000,6047494000,
MinorityInterest,849000,414000,0,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1048020000,1216788000,1195374000,0,0
