key,2024,2023,2022,2021,2020
ProfitLoss,362939000,496836000,438647000,388090000,243386000
DepreciationAmortizationAndAccretionNet,462967000,293423000,349449000,271294000,251296000
ShareBasedCompensation,44525000,22649000,23136000,37368000,18772000
AmortizationOfFinancingCosts,6332000,6538000,6158000,5877000,5909000
GainLossOnDispositionOfAssets1,6057000,5474000,15721000,2115000,9026000
GainsLossesOnExtinguishmentOfDebt,-270000,-115000,0,-21604000,-25235000
IncomeLossFromEquityMethodInvestments,5094000,3696000,4315000,3384000,0
DeferredIncomeTaxExpenseBenefit,-4036000,2384000,3212000,1574000,-797000
ProvisionForDoubtfulAccounts,8770000,12737000,9013000,4527000,12729000
IncreaseDecreaseInReceivables,43000000,28744000,22511000,24684000,-1287000
IncreaseDecreaseInPrepaidExpense,2656000,-1087000,906000,5493000,-591000
IncreaseDecreaseInOtherOperatingAssets,7424000,3363000,-2711000,-5030000,-7629000
IncreaseDecreaseInAccountsPayableTrade,3262000,-307000,1176000,1308000,841000
IncreaseDecreaseInAccruedLiabilities,18902000,-1708000,-10773000,9553000,10052000
IncreaseDecreaseInOperatingLeaseLiabilities,7498000,2490000,7198000,3819000,24549000
IncreaseDecreaseInOtherOperatingLiabilities,26412000,-11354000,-4862000,20049000,-22580000
NetCashProvidedByUsedInOperatingActivities,873610000,783613000,781612000,734417000,569873000
PaymentsToAcquirePropertyPlantAndEquipment,125284000,178271000,167078000,126090000,62272000
PaymentsToAcquireBusinessesNetOfCashAcquired,45393000,138961000,479766000,312257000,45584000
PaymentsToAcquireEquityMethodInvestments,,0,0,30000000,0
ProceedsFromSaleOfNotesReceivable,65000,62000,12124000,107000,0
ProceedsFromSaleOfPropertyPlantAndEquipment,5706000,7051000,15649000,6480000,10968000
NetCashProvidedByUsedInInvestingActivities,-164906000,-310119000,-619071000,-461760000,-96888000
ProceedsFromIssuanceOfCommonStock,20980000,15689000,18894000,19042000,11148000
PaymentsForRepurchaseOfCommonStock,5341000,5989000,10506000,6066000,10492000
ProceedsFromLinesOfCredit,783000000,403000000,445000000,200000000,725000000
RepaymentsOfLinesOfCredit,569000000,378000000,575000000,25000000,875000000
RepaymentsOfLongTermDebt,400000,381000,365000,378000,9112000
ProceedsFromIssuanceOfLongTermDebt,,,0,0,8750000
FinanceLeasePrincipalPayments,1331000,1331000,1331000,1331000,0
ProceedsFromBankDebt,0,0,350000000,0,598500000
RepaymentsOfBankDebt,350000000,0,0,0,978097000
ProceedsFromAccountsReceivableSecuritization,86400000,114900000,265000000,180000000,122500000
RepaymentsOfAccountsReceivableSecuritization,86400000,114900000,190000000,127500000,175000000
ProceedsFromIssuanceOfDebt,,0,0,550000000,1549250000
RedemptionOfSeniorNotesAndSeniorSubordinatedNotes,,0,0,668688000,1058596000
PaymentsOfDebtIssuanceCosts,464000,2951000,1583000,8823000,32950000
PaymentsOfDistributionsToAffiliates,1655000,1056000,814000,601000,1509000
PaymentsOfOrdinaryDividends,579214000,510616000,508614000,405174000,252309000
NetCashProvidedByUsedInFinancingActivities,-703425000,-481635000,-209319000,-294519000,-377917000
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,-423000,127000,-391000,81000,313000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,4856000,-8014000,-47169000,-21781000,95381000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,49461000,44605000,52619000,99788000,121569000
InterestPaidNet,165827000,168011000,120000000,112080000,130864000
IncomeTaxesPaid,8505000,11432000,16325000,8388000,4033000
