key,2024-03-31,2023-12-31,2023-03-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,35905000,44105000,,
AccountsReceivableNetCurrent,298509000,301189000,,
OtherAssetsCurrent,41162000,27392000,,
AssetsCurrent,375576000,372686000,,
PropertyPlantAndEquipmentGross,4289440000,4274831000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,2731409000,2708361000,,
PropertyPlantAndEquipmentNet,1558031000,1566470000,,
OperatingLeaseRightOfUseAsset,1302629000,1315433000,,
FinanceLeaseRightOfUseAsset,10471000,11184000,,
Goodwill,2025068000,2025119000,,
FiniteLivedIntangibleAssetsNet,1149613000,1170967000,,
OtherAssetsNoncurrent,97408000,96205000,,
Assets,6508325000,6546880000,,
AccountsPayableCurrent,18435000,18238000,,
LongTermDebtCurrent,585763000,250018000,,
OperatingLeaseLiabilityCurrent,174955000,210568000,,
FinanceLeaseLiabilityCurrent,1331000,1331000,,
AccruedLiabilitiesCurrent,69524000,97464000,,
ContractWithCustomerLiabilityCurrent,132644000,126547000,,
LiabilitiesCurrent,982652000,704166000,,
LongTermDebtNoncurrent,2815573000,3091109000,,
OperatingLeaseLiabilityNoncurrent,1066058000,1075285000,,
FinanceLeaseLiabilityNoncurrent,14282000,14614000,,
DeferredIncomeTaxLiabilitiesNet,12293000,12047000,,
AssetRetirementObligationsNoncurrent,396539000,397991000,,
OtherLiabilitiesNoncurrent,467188000,466543000,,
Liabilities,5331471000,5337103000,,
PreferredStockValue,0,0,,
CommonStockValue,0,0,,
AdditionalPaidInCapitalCommonStock,3200451000,3173789000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-820000,-428000,,
RetainedEarningsAccumulatedDeficit,-2024005000,-1963998000,,
TreasuryStockCommonValue,72688000,67347000,,
MinorityInterest,1228000,414000,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1228000,414000,1153041000,1187501000
LiabilitiesAndStockholdersEquity,6508325000,6546880000,,
