key,2024-03-31,2023-12-31,2023-03-31,2022-12-31
ProfitLoss,78637000,,76334000,
DepreciationAmortizationAndAccretionNet,75228000,,73125000,
ShareBasedCompensation,14466000,,8040000,
AmortizationOfFinancingCosts,1631000,,1642000,
GainLossOnDispositionOfAssets1,2188000,,2688000,
IncomeLossFromEquityMethodInvestments,-559000,,178000,
DeferredIncomeTaxExpenseBenefit,246000,,-1152000,
ProvisionForDoubtfulAccounts,312000,,1397000,
IncreaseDecreaseInReceivables,-2229000,,-24208000,
IncreaseDecreaseInPrepaidExpense,6746000,,10833000,
IncreaseDecreaseInOtherOperatingAssets,6306000,,7523000,
IncreaseDecreaseInAccountsPayableTrade,325000,,-1911000,
IncreaseDecreaseInAccruedLiabilities,-20355000,,-24010000,
IncreaseDecreaseInOperatingLeaseLiabilities,-32035000,,-40801000,
IncreaseDecreaseInOtherOperatingLiabilities,-16145000,,-6269000,
NetCashProvidedByUsedInOperatingActivities,89858000,,89381000,
PaymentsToAcquireBusinessesNetOfCashAcquired,18265000,,13627000,
PaymentsToAcquirePropertyPlantAndEquipment,29482000,,42285000,
ProceedsFromSaleOfPropertyPlantAndEquipment,2731000,,3248000,
NetCashProvidedByUsedInInvestingActivities,-45016000,,-52664000,
PaymentsForRepurchaseOfCommonStock,5341000,,5947000,
ProceedsFromIssuanceOfCommonStock,7067000,,4208000,
RepaymentsOfLongTermDebt,98000,,93000,
FinanceLeasePrincipalPayments,333000,,333000,
RepaymentsOfLinesOfCredit,70000000,,20000000,
ProceedsFromLinesOfCredit,143000000,,90000000,
ProceedsFromAccountsReceivableSecuritization,6900000,,9800000,
RepaymentsOfAccountsReceivableSecuritization,21200000,,25000000,
PaymentsOfDebtIssuanceCosts,23000,,25000,
PaymentsOfDistributionsToAffiliates,479000,,214000,
PaymentsOfOrdinaryDividends,133119000,,127551000,
NetCashProvidedByUsedInFinancingActivities,-52922000,,-55824000,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,-120000,,10000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-8200000,,-19097000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,35905000,44105000,33022000,52119000
InterestPaidNet,42520000,,39430000,
IncomeTaxesPaid,2953000,,3182000,
