key,2024-03-31,2023-12-31,2023-03-31,2022-12-31
RevenueFromContractWithCustomerIncludingAssessedTax,498150000,,471332000,
CostOfGoodsAndServicesSold,175645000,,168432000,
GeneralAndAdministrativeExpense,89161000,,85135000,
CorporateExpensesExcludingDepreciationAndAmortization,35566000,,28391000,
DepreciationAmortizationAndAccretionNet,75228000,,73125000,
GainLossOnDispositionOfAssets1,2188000,,2688000,
CostsAndExpenses,373412000,,352395000,
OperatingIncomeLoss,124738000,,118937000,
InvestmentIncomeInterest,467000,,461000,
InterestExpense,44487000,,41444000,
IncomeLossFromEquityMethodInvestments,-559000,,178000,
NonoperatingIncomeExpense,-44579000,,-40805000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,80159000,,78132000,
IncomeTaxExpenseBenefit,1522000,,1798000,
ProfitLoss,78637000,,76334000,
NetIncomeLossAttributableToNoncontrollingInterest,275000,,157000,
NetIncomeLoss,78362000,,76177000,
DividendsPreferredStockCash,91000,,91000,
NetIncomeLossAvailableToCommonStockholdersBasic,78133000,,75950000,
EarningsPerShareBasic,0.77,,0.75,
EarningsPerShareDiluted,0.76,,0.74,
CommonStockDividendsPerShareDeclared,1.30,,1.25,
WeightedAverageNumberOfSharesOutstandingBasic,102115159,,101792317,
WeightedAverageNumberOfDilutedSharesOutstanding,102447333,,101963563,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-392000,,-2000,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,78245000,,76332000,
OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToNoncontrollingInterest,275000,,157000,
ComprehensiveIncomeNetOfTax,77970000,,76175000,
