key,2025-04-30,2025-03-31,2024-12-31,2024-03-31,2023-12-31
CashAndCashEquivalentsAtCarryingValue,,35617000,48961000,,
AccountsReceivableNetCurrent,,308135000,334798000,,
OtherAssetsCurrent,,61063000,41009000,,
AssetsCurrent,,404815000,424768000,,
PropertyPlantAndEquipmentGross,,4599455000,4574894000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,3004117000,2974085000,,
PropertyPlantAndEquipmentNet,,1595338000,1600809000,,
OperatingLeaseRightOfUseAsset,,1403224000,1355231000,,
FinanceLeaseRightOfUseAsset,,7618000,8331000,,
Goodwill,,2024933000,2024931000,,
FiniteLivedIntangibleAssetsNet,,1046160000,1062133000,,
OtherAssetsNoncurrent,,48344000,93604000,,
Assets,,6530432000,6569807000,,
AccountsPayableCurrent,,25756000,21586000,,
LongTermDebtCurrent,,223366000,249806000,,
OperatingLeaseLiabilityCurrent,,193033000,218108000,,
FinanceLeaseLiabilityCurrent,,1331000,1331000,,
AccruedLiabilitiesCurrent,,100688000,123282000,,
ContractWithCustomerLiabilityCurrent,,162253000,153700000,,
LiabilitiesCurrent,,706427000,767813000,,
LongTermDebtNoncurrent,,2964419000,2961058000,,
OperatingLeaseLiabilityNoncurrent,,1155498000,1114407000,,
FinanceLeaseLiabilityNoncurrent,,12950000,13283000,,
DeferredIncomeTaxLiabilitiesNet,,743000,8006000,,
AssetRetirementObligationsNoncurrent,,615696000,614713000,,
OtherLiabilitiesNoncurrent,,49008000,48588000,,
Liabilities,,5504741000,5527868000,,
PreferredStockValue,,0,0,,
CommonStockValue,,0,0,,
AdditionalPaidInCapitalCommonStock,,3259694000,3229799000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,-3275000,-2954000,,
RetainedEarningsAccumulatedDeficit,,-2232324000,-2185755000,,
TreasuryStockCommonValue,150000000,99056000,72688000,,
MinorityInterest,,1596000,849000,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,1596000,849000,1176854000,1209777000
LiabilitiesAndStockholdersEquity,,6530432000,6569807000,,
