key,2025-04-30,2025-03-31,2024-12-31,2024-03-31,2023-12-31
ProfitLoss,,139338000,,78637000,
DepreciationAmortizationAndAccretionNet,,77821000,,75228000,
ShareBasedCompensation,,10577000,,14466000,
AmortizationOfFinancingCosts,,1523000,,1631000,
GainLossOnDispositionOfAssets1,,69785000,,2188000,
IncomeLossFromEquityMethodInvestments,,380000,,-559000,
DeferredIncomeTaxExpenseBenefit,,-8268000,,246000,
ProvisionForDoubtfulAccounts,,1195000,,312000,
IncreaseDecreaseInReceivables,,-25469000,,-2229000,
IncreaseDecreaseInPrepaidExpense,,6332000,,6746000,
IncreaseDecreaseInOtherOperatingAssets,,12984000,,6306000,
IncreaseDecreaseInAccountsPayableTrade,,2250000,,325000,
IncreaseDecreaseInAccruedLiabilities,,-6907000,,-20355000,
IncreaseDecreaseInOperatingLeaseLiabilities,,-31763000,,-32035000,
IncreaseDecreaseInOtherOperatingLiabilities,,-20330000,,-16145000,
NetCashProvidedByUsedInOperatingActivities,,101424000,,89858000,
PaymentsToAcquireBusinessesNetOfCashAcquired,,22143000,,18265000,
PaymentsToAcquirePropertyPlantAndEquipment,,29887000,,29482000,
ProceedsFromSaleOfPropertyPlantAndEquipment,,117456000,,2731000,
NetCashProvidedByUsedInInvestingActivities,,65426000,,-45016000,
PaymentsForRepurchaseOfCommonStock,,26368000,,5341000,
ProceedsFromIssuanceOfCommonStock,,4493000,,7067000,
RepaymentsOfLongTermDebt,,103000,,98000,
FinanceLeasePrincipalPayments,,333000,,333000,
RepaymentsOfLinesOfCredit,,200000000,,70000000,
ProceedsFromLinesOfCredit,,202000000,,143000000,
RepaymentsOfAccountsReceivableSecuritization,,26500000,,21200000,
ProceedsFromAccountsReceivableSecuritization,,0,,6900000,
PaymentsOfDebtIssuanceCosts,,0,,23000,
PaymentsOfDistributionsToAffiliates,,553000,,479000,
PaymentsOfOrdinaryDividends,,159158000,,133119000,
NetCashProvidedByUsedInFinancingActivities,,-180201000,,-52922000,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,,7000,,-120000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,,-13344000,,-8200000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,,35617000,48961000,35905000,44105000
InterestPaidNet,,36937000,,42520000,
IncomeTaxesPaid,,7032000,,2953000,
