key,2025-04-30,2025-03-31,2024-12-31,2024-03-31,2023-12-31
RevenueFromContractWithCustomerIncludingAssessedTax,,505430000,,498150000,
CostOfGoodsAndServicesSold,,179997000,,175645000,
GeneralAndAdministrativeExpense,,94992000,,89161000,
CorporateExpensesExcludingDepreciationAndAmortization,,31063000,,35566000,
DepreciationAmortizationAndAccretionNet,,77821000,,75228000,
GainLossOnDispositionOfAssets1,,69785000,,2188000,
CostsAndExpenses,,314088000,,373412000,
OperatingIncomeLoss,,191342000,,124738000,
InvestmentIncomeInterest,,492000,,467000,
InterestExpenseNonoperating,,38332000,,44487000,
IncomeLossFromEquityMethodInvestments,,380000,,-559000,
NonoperatingIncomeExpense,,-37460000,,-44579000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,153882000,,80159000,
IncomeTaxExpenseBenefit,,14544000,,1522000,
ProfitLoss,,139338000,,78637000,
NetIncomeLossAttributableToNoncontrollingInterest,,474000,,275000,
NetIncomeLoss,,138864000,,78362000,
DividendsPreferredStockCash,,91000,,91000,
NetIncomeLossAvailableToCommonStockholdersBasic,,138664000,,78133000,
EarningsPerShareBasic,,1.35,,0.77,
EarningsPerShareDiluted,,1.35,,0.76,
CommonStockDividendsPerShareDeclared,,1.55,,1.30,
WeightedAverageNumberOfSharesOutstandingBasic,,102437911,,102115159,
WeightedAverageNumberOfDilutedSharesOutstanding,,102797307,,102447333,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,-321000,,-392000,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,139017000,,78245000,
OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToNoncontrollingInterest,,474000,,275000,
ComprehensiveIncomeNetOfTax,,138543000,,77970000,
