key,2024,2023,2022,2021,2020
CashAndCashEquivalentsAtCarryingValue,173000000,68000000,,,
RestrictedCashCurrent,2000000,3000000,,,
AccountsReceivableNetCurrent,826000000,913000000,,,
InventoryNet,187000000,171000000,,,
PrepaidExpenseAndOtherAssetsCurrent,97000000,101000000,,,
AssetsCurrent,1285000000,1256000000,,,
PropertyPlantAndEquipmentNet,10627000000,10571000000,,,
FinanceLeaseRightOfUseAsset,1254000000,1243000000,,,
OperatingLeaseRightOfUseAsset,627000000,724000000,,,
EquityMethodInvestments,124000000,113000000,,,
Goodwill,3338000000,3394000000,33000000,,
IntangibleAssetsNetExcludingGoodwill,1127000000,1280000000,,,
OtherAssetsNoncurrent,279000000,290000000,,,
Assets,18661000000,18871000000,,,
AccountsPayableAndAccruedLiabilitiesCurrent,1220000000,1137000000,,,
DividendsPayableCurrent,134000000,110000000,,,
DeferredRevenueIncludingContractWithCustomerLiabilityCurrent,83000000,94000000,,,
LongTermDebtCurrent,56000000,24000000,,,
LiabilitiesCurrent,1493000000,1365000000,,,
FinanceLeaseLiabilityNoncurrent,1249000000,1305000000,,,
OperatingLeaseLiabilityNoncurrent,605000000,692000000,,,
DeferredIncomeTaxLiabilitiesNet,304000000,370000000,,,
LongTermDebtNoncurrent,4906000000,8958000000,,,
OtherLiabilitiesNoncurrent,410000000,159000000,,,
Liabilities,8967000000,12849000000,,,
RedeemableNoncontrollingInterestEquityCarryingAmount,43000000,349000000,,,
CommonStockValue,2000000,2000000,,,
AdditionalPaidInCapitalCommonStock,10764000000,5961000000,,,
PreferredStockValue,0,1000000,,,
RetainedEarningsAccumulatedDeficit,-1855000000,-879000000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-273000000,-34000000,,,
StockholdersEquity,8638000000,5051000000,,,
MinorityInterest,1013000000,622000000,608000000,543000000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,9651000000,5673000000,2000000,2000000,
LiabilitiesAndStockholdersEquity,18661000000,18871000000,,,
