key,2024,2023,2022,2021,2020
ProfitLoss,-751000000,-96000000,-76000000,,
ProvisionForDoubtfulAccounts,5000000,6000000,5000000,,
AssetImpairmentCharges,98000000,9000000,1000000,,
InsuredEventGainLoss,76000000,0,0,,
GainLossOnSaleOfBusiness,0,-21000000,0,,
DepreciationDepletionAndAmortization,876000000,760000000,678000000,,
GainsLossesOnExtinguishmentOfDebt,-17000000,0,2000000,,
AmortizationOfFinancingCostsAndDiscounts,19000000,21000000,17000000,,
ShareBasedCompensation,215000000,26000000,17000000,,
ForeignCurrencyTransactionGainLossBeforeTax,-25000000,4000000,-24000000,,
DeferredIncomeTaxExpenseBenefit,-105000000,-58000000,-42000000,,
GainLossOnVestingOfUnits,-185000000,0,0,,
OneTimeInternalizationExpense,-200000000,0,0,,
PutOptionsFairValueAdjustment,-31000000,0,0,,
OtherOperatingActivitiesCashFlowStatement,19000000,9000000,4000000,,
IncreaseDecreaseInAccountsReceivable,-64000000,-43000000,156000000,,
IncreaseDecreaseInPrepaidExpensesOtherAssetsAndOtherLongTermLiabilities,29000000,12000000,53000000,,
IncreaseDecreaseInInventories,18000000,-8000000,13000000,,
IncreaseDecreaseInAccountsPayableAccruedLiabilitiesAndDeferredRevenue,-85000000,51000000,84000000,,
IncreaseDecreaseInRightOfUseAssetsAndOperatingLeaseLiabilities,13000000,12000000,13000000,,
NetCashProvidedByUsedInOperatingActivities,703000000,796000000,501000000,,
PaymentsToAcquireBusinessesNetOfCashAcquired,346000000,283000000,1640000000,,
PaymentsForDepositsOnPendingAcquisitions,-3000000,0,-93000000,,
PaymentsToAcquirePropertyPlantAndEquipment,691000000,766000000,813000000,,
ProceedsFromSaleOfProductiveAssets,7000000,19000000,4000000,,
ProceedsFromInsuranceSettlementInvestingActivities,105000000,0,0,,
PaymentsToAcquireInvestments,20000000,31000000,12000000,,
ProceedsFromCollectionOfNotesReceivable,15000000,0,0,,
PaymentsForProceedsFromOtherInvestingActivities,-8000000,5000000,1000000,,
NetCashProvidedByUsedInInvestingActivities,-919000000,-1066000000,-2369000000,,
ProceedsFromContributedCapital,0,142000000,942000000,,
ProceedsFromIssuanceInitialPublicOffering,4879000000,-6000000,0,,
PaymentsOfDividends,234000000,46000000,180000000,,
PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,6000000,0,56000000,,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,46000000,0,0,,
PaymentsForRepurchaseOfCommonStockPursuantToPutOptionExercise,17000000,0,0,,
PaymentsOfFinancingCosts,45000000,0,9000000,,
ProceedsFromIssuanceOfLongTermDebt,2481000000,0,946000000,,
RepaymentsOfLongTermDebtAndCapitalSecurities,7112000000,96000000,103000000,,
PaymentForContingentConsiderationLiabilityFinancingActivities,46000000,36000000,8000000,,
ProceedsFromLinesOfCredit,4112000000,1431000000,2465000000,,
RepaymentsOfLinesOfCredit,3512000000,1216000000,2152000000,,
PaymentsForRepurchaseOfUnitsIssuedAsStockCompensation,2000000,12000000,8000000,,
PaymentsForRepurchaseOfCommonStock,25000000,12000000,0,,
PaymentsForRepurchaseOfOperatingPartnershipEquivalentUnits,75000000,0,0,,
SettlementOfPutOptionLiability,27000000,0,0,,
ProceedsFromPaymentsForOtherFinancingActivities,-5000000,-13000000,3000000,,
NetCashProvidedByUsedInFinancingActivities,320000000,136000000,1840000000,,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,0,3000000,-10000000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,104000000,-131000000,-38000000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,175000000,71000000,202000000,240000000,
IncomeTaxesPaidNet,36000000,31000000,74000000,,
InterestPaidNet,523000000,594000000,354000000,,
CapitalExpendituresIncurredButNotYetPaid,118000000,104000000,100000000,,
LiabilitiesAssumed1,103000000,0,0,,
AccruedDeclaredDividendsCommonStock,135000000,109000000,11000000,,
NoncashOrPartNoncashAcquisitionDebtAssumed1,14000000,3000000,35000000,,
NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationValue,0,6000000,96000000,,
NoncashOrPartNoncashAcquisitionContingentConsiderationLiability,12000000,11000000,30000000,,
EquityIssuedInExchangeForRedeemableNoncontrollingInterests,0,0,10000000,,
RedemptionsOfStockBasedCompensationNotYetPaidInCash,0,0,7000000,,
NoncashCapitalContributions,0,-3000000,-7000000,,
StockIssued1,1000000,0,0,,
StockIssuanceCosts,6000000,0,0,,
