key,2024,2023,2022,2021,2020
RevenueFromContractWithCustomerExcludingAssessedTax,5340000000,5342000000,4928000000,,
CostOfGoodsAndServicesSold,3578000000,3590000000,3473000000,,
GeneralAndAdministrativeExpense,539000000,502000000,399000000,,
DepreciationNonproduction,659000000,552000000,480000000,,
AdjustmentForAmortization,217000000,208000000,198000000,,
AcquisitionTransactionAndOtherExpenses,651000000,60000000,66000000,,
RestructuringSettlementAndImpairmentProvisions,57000000,32000000,15000000,,
CostsAndExpenses,5701000000,4944000000,4631000000,,
OperatingIncomeLoss,-361000000,398000000,297000000,,
IncomeLossFromEquityMethodInvestments,-6000000,-3000000,0,,
ForeignCurrencyTransactionGainLossBeforeTax,-25000000,4000000,-24000000,,
InterestIncomeExpenseNonoperatingNet,-430000000,-490000000,-347000000,,
GainsLossesOnExtinguishmentOfDebt,-17000000,0,2000000,,
OtherNonoperatingIncomeExpense,-1000000,-19000000,2000000,,
NonoperatingIncomeExpense,-479000000,-508000000,-367000000,,
IncomeLossIncludingPortionAttributableToNoncontrollingInterest,-840000000,-110000000,-70000000,,
IncomeTaxExpenseBenefit,-89000000,-14000000,6000000,,
ProfitLoss,-751000000,-96000000,-76000000,,
NetIncomeLossAttributableToNoncontrollingInterest,-87000000,-19000000,-13000000,,
NetIncomeLoss,-664000000,-77000000,-63000000,,
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,-60000000,-87000000,172000000,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-207000000,88000000,-221000000,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-1018000000,-95000000,-125000000,,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-115000000,-21000000,-16000000,,
ComprehensiveIncomeNetOfTax,-903000000,-74000000,-109000000,,
EarningsPerShareBasic,-3.70,-0.73,-0.51,,
EarningsPerShareDiluted,-3.70,-0.73,-0.51,,
WeightedAverageNumberOfSharesOutstandingBasic,191000000,162000000,152000000,,
WeightedAverageNumberOfDilutedSharesOutstanding,191000000,162000000,152000000,,
