key,2025-03-31,2024-12-31,2024-03-31,2024-02-15,2023-12-31
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,197000000,175000000,94000000,,71000000
AccountsReceivableNetCurrent,2000000,2000000,,,
InventoryNet,175000000,187000000,,,
PrepaidExpenseAndOtherAssetsCurrent,171000000,97000000,,,
AssetsCurrent,1390000000,1285000000,,,
PropertyPlantAndEquipmentNet,10644000000,10627000000,,,
FinanceLeaseRightOfUseAsset,1231000000,1254000000,,,
OperatingLeaseRightOfUseAsset,618000000,627000000,,,
EquityMethodInvestments,128000000,124000000,,,
Goodwill,640000000,634000000,,,
IntangibleAssetsNetExcludingGoodwill,1116000000,1127000000,,,
OtherAssetsNoncurrent,262000000,279000000,,,
Assets,18768000000,18661000000,,,
AccountsPayableAndAccruedLiabilitiesCurrent,2000000,2000000,,,
DividendsPayableCurrent,134000000,134000000,,,
DeferredRevenueIncludingContractWithCustomerLiabilityCurrent,84000000,83000000,,,
LongTermDebtCurrent,55000000,56000000,,,
LiabilitiesCurrent,1405000000,1493000000,,,
FinanceLeaseLiabilityNoncurrent,1240000000,1249000000,,,
OperatingLeaseLiabilityNoncurrent,598000000,605000000,,,
DeferredIncomeTaxLiabilitiesNet,324000000,304000000,,,
LongTermDebtNoncurrent,5130000000,4906000000,,,
OtherLiabilitiesNoncurrent,425000000,410000000,,,
Liabilities,9122000000,8967000000,,,
CommitmentsAndContingencies,,,,,
RedeemableNoncontrollingInterestEquityCarryingAmount,41000000,43000000,,,
CommonStockValue,2000000,2000000,,,
AdditionalPaidInCapitalCommonStock,10791000000,10764000000,,,
RetainedEarningsAccumulatedDeficit,-1976000000,-1855000000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-231000000,-273000000,,,
StockholdersEquity,8586000000,8638000000,,,
MinorityInterest,54000000,55000000,630000000,,622000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,41000000,57000000,113000000,,115000000
LiabilitiesAndStockholdersEquity,18768000000,18661000000,,,
