key,2025-03-31,2024-12-31,2024-03-31,2024-02-15,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,1292000000,,1328000000,,
CostOfGoodsAndServicesSold,875000000,,884000000,,
GeneralAndAdministrativeExpense,154000000,,124000000,,
DepreciationNonproduction,158000000,,158000000,,
AdjustmentForAmortization,54000000,,53000000,,
AcquisitionTransactionAndOtherExpenses,15000000,,8000000,,
RestructuringSettlementAndImpairmentProvisions,-21000000,,0,,
CostsAndExpenses,1236000000,,1227000000,,
OperatingIncomeLoss,56000000,,101000000,,
IncomeLossFromEquityMethodInvestments,-4000000,,-2000000,,
ForeignCurrencyTransactionGainLossBeforeTax,16000000,,-11000000,,
InterestIncomeExpenseNonoperatingNet,-60000000,,-139000000,,
GainsLossesOnExtinguishmentOfDebt,0,,-7000000,-2000000,
NonoperatingIncomeExpense,-48000000,,-159000000,,
IncomeLossIncludingPortionAttributableToNoncontrollingInterest,8000000,,-58000000,,
IncomeTaxExpenseBenefit,8000000,,-10000000,,
ProfitLoss,0,,-4000000,,
NetIncomeLossAttributableToNoncontrollingInterest,0,,-8000000,,
NetIncomeLoss,0,,-40000000,,
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,-17000000,,3000000,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,64000000,,-74000000,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,47000000,,-119000000,,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,5000000,,-16000000,,
ComprehensiveIncomeNetOfTax,42000000,,-103000000,,
EarningsPerShareBasic,0.01,,-0.28,,
EarningsPerShareDiluted,0.01,,-0.28,,
WeightedAverageNumberOfSharesOutstandingBasic,228000000,,162000000,,
WeightedAverageNumberOfDilutedSharesOutstanding,228000000,,162000000,,
