key,2024,2023,2022,2021,2020
PreferredUnitsPreferredPartnersCapitalAccounts,66840000,66840000,66840000,66840000,
PreferredStockValueOutstanding,9000,9000,9000,9000,
UnsecuredDebt,4620690000,4180084000,4050910000,4151375000,
Land,2096912000,2031403000,2008364000,1977813000,
GeneralPartnersCapitalAccount,5882336000,6036154000,5948498000,5909700000,
CommonStockValueOutstanding,1166000,1168000,1152000,1151000,
SecuredDebt,360267000,360141000,363993000,365315000,
BuildingsImprovementsAndOther,14160799000,13515949000,12841947000,12454439000,
TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,22230000,19167000,20671000,30185000,
LimitedPartnersCapitalAccount,155409000,163128000,163595000,165116000,
AdditionalPaidInCapital,7417453000,7399921000,7202834000,7230956000,
AccruedLiabilitiesCurrentAndNoncurrent,683748000,645156000,615843000,584400000,
ConstructionInProgressGross,470282000,385405000,332035000,247970000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-6940000,-8764000,-10052000,-11132000,
AccumulatedDistributionsInExcessOfNetIncome,1469557000,1298263000,1188854000,1255807000,
DueToRelatedPartiesCurrent,,,19000,19000,
RealEstateInvestmentPropertyAtCost,16727993000,15932757000,15182346000,14680222000,
ParentLPStockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,6097540000,6257199000,6168684000,6130293000,
Liabilities,5664705000,5185381000,5030746000,5101090000,
RealEstateInvestmentPropertyAccumulatedDepreciation,5327584000,4864690000,4302747000,3848161000,
MinorityInterestInJointVentures,27894000,22756000,21064000,23614000,
StockholdersEquity,5942131000,6094071000,6005089000,5965177000,
RealEstateInvestmentPropertyNet,11400409000,11068067000,10879599000,10832061000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,6125434000,6279955000,6189748000,6153907000,9000
MinorityInterestInOperatingPartnerships,155409000,163128000,163595000,165116000,
UndevelopedLand,,,64312000,24015000,
LiabilitiesAndStockholdersEquity,11812369000,11484503000,11241165000,11285182000,
LandAvailableForDevelopment,73359000,73861000,64312000,24015000,
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,41650000,41977000,42290000,42827000,
RealEstateAssetsNet,11515418000,11183905000,10986201000,10898903000,
CashAndCashEquivalentsAtCarryingValue,43018000,41314000,38659000,54302000,25198000
RestrictedCash,13743000,13777000,22412000,76296000,10417000
OtherAssets,232426000,245507000,193893000,255681000,
Assets,11812369000,11484503000,11241165000,11285182000,
OtherLiabilitiesCurrent,19000,19000,19000,,
AssetsHeldForSaleNotPartOfDisposalGroup,7764000,0,,,
