key,2024,2023,2022,2021,2020
ProceedsFromLinesOfCredit,,,0,,255000000
InterestPaidNet,164883000,157566000,157497000,158630000,165098000
ProfitLoss,541576000,567831000,654776000,550702000,264015000
PaymentsToAcquireRealEstateAndOtherAssets,301071000,223453000,271428000,46028000,56965000
DepreciationDepletionAndAmortization,586402000,565857000,544004000,534415000,511678000
ConversionOfStockAmountConverted1,3529000,1092000,2118000,43292000,502000
CashAndCashEquivalentsAtCarryingValue,43018000,41314000,38659000,54302000,25198000
RepaymentsOfLinesOfCredit,,,0,,255000000
IncomeTaxesPaid,3343000,4002000,3490000,2543000,2549000
PaymentsForCapitalImprovements,322372000,341224000,296176000,279635000,225506000
GainLossOnDispositionOfAssets,55003000,-62000,214762000,220428000,9000
ConstructionInProgressExpendituresIncurredButNotYetPaid,32903000,23345000,16484000,15123000,19625000
RestrictedCash,13743000,13777000,22412000,76296000,10417000
ProceedsFromRepaymentsOfCommercialPaper,-245000000,475000000,20000000,-172000000,102000000
NetCashProvidedByUsedInOperatingActivities,1098292000,1137187000,1058479000,894967000,823949000
PaymentsToAcquireInProcessResearchAndDevelopment,313888000,198152000,172124000,231642000,201435000
GainonSaleofNonDepreciableAssets,0,54000,809000,811000,1024000
InterestCostsCapitalized,17435000,12376000,8728000,9720000,6912000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,56761000,55091000,61071000,130598000,35615000
ProceedsFromNotesPayable,1091646000,0,0,594423000,447593000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,1670000,-5980000,-69527000,94983000,-34926000
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,327000,312000,538000,497000,349000
DerivativeGainLossOnDerivativeNet,-18751000,18528000,-21107000,-4560000,2562000
RepaymentsOfNotesPayable,400000000,353861000,126401000,467153000,441108000
PaymentsToAcquireEquityMethodInvestments,2874000,16636000,13849000,4669000,5349000
ShareBasedCompensation,15789000,15699000,18798000,16665000,14329000
PaymentsOfFinancingCosts,10317000,2000,5516000,5940000,4217000
ProceedsFromRealEstateAssetDispositions,84209000,2946000,320491000,293071000,2618000
AmortizationOfDebtDiscountPremium,6036000,5909000,6064000,5652000,4960000
PaymentsOfDividendsMinorityInterest,18260000,17671000,14927000,15497000,16243000
Proceedsfrominsurancerecoveries,,,27312000,14820000,1557000
GainFromUnconsolidatedLimitedPartnershipsNetOfDistributionsReceived,,,-45357000,51713000,5608000
PaymentsOfDividendsCommonStock,686900000,651717000,539605000,470401000,457355000
NetCashProvidedByUsedInInvestingActivities,-825499000,-775262000,-405236000,-253586000,-484731000
OtherOperatingActivitiesCashFlowStatement,3789000,4860000,-16056000,55925000,38170000
PaymentsOfDividendsPreferredStockAndPreferenceStock,3688000,3688000,3688000,3688000,3688000
PaymentsToMinorityShareholders,0,15757000,43070000,0,0
ProceedsFromPaymentsForOtherFinancingActivities,166000,-5279000,-9563000,-6142000,-1126000
NetCashProvidedByUsedInFinancingActivities,-271123000,-367905000,-722770000,-546398000,-374144000
GainLossFromUnconsolidatedLimitedPartnershipsNetOfDistributionsReceived,7809000,4449000,-45357000,51713000,
NetProceedsFromInsuranceRecoveries,20195000,945000,27312000,14820000,
ProceedsFromIssuanceOfCommonStock,1230000,205070000,1083000,645000,
DistributionOnCommonUnitsDeclaredAndAccrued,181738000,176162000,166103000,128916000,
GainOnConsolidationOfThirdPartyDevelopment,11239000,0,0,,
ProceedsFromSaleOfEquitySecuritiesFvNi,9975000,0,0,,
