key,2024,2023,2022,2021,2020
EarningsPerShareBasic,4.49,4.71,5.49,4.62,2.20
EarningsPerShareDiluted,4.49,4.71,5.48,4.61,2.19
Revenues,2191015000,2148468000,2019866000,1778082000,1677984000
OperatingCostsAndExpensesExcludingDepreciationAndAmortizationAndRealEstateTaxesAndInsurance,502735000,461540000,435108000,404288000,387966000
BasicEarningsPerUnit,4.49,4.71,5.49,4.62,2.20
DilutedEarningsPerUnit,4.49,4.71,5.48,4.61,2.20
RealEstateTaxesAndInsurance,317357000,306601000,288586000,266877000,252505000
DepreciationAndAmortization,585616000,565063000,542998000,533433000,510842000
PropertyOperatingExpenses,1405708000,1333204000,1266692000,1204598000,1151313000
OtherCostAndExpenseOperating,72040000,67784000,65463000,55732000,52300000
GeneralAndAdministrativeExpense,56516000,58578000,58833000,52884000,46858000
InterestExpense,168544000,149234000,154747000,156881000,167562000
GainLossOnSaleOfPropertyPlantEquipment,55003000,-62000,214762000,220428000,9000
GainLossOnSaleOfNonDepreciableRealEstateAssets,0,54000,809000,811000,1024000
OtherNonoperatingIncomeExpense,1655000,31185000,-42713000,33902000,4857000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,544865000,570845000,646989000,563128000,265841000
IncomeTaxExpenseBenefit,5240000,4744000,-6208000,13637000,3327000
IncomeLossFromContinuingOperationsBeforeEquityMethodInvestments,539625000,566101000,653197000,549491000,262514000
IncomeLossFromEquityMethodInvestments,1951000,1730000,1579000,1211000,1501000
ProfitLoss,541576000,567831000,654776000,550702000,264015000
NetIncomeLossAttributableToNoncontrollingInterest,14033000,15025000,17340000,16911000,9053000
NetIncomeLoss,527543000,552806000,637436000,533791000,254962000
PreferredStockDividendsIncomeStatementImpact,3688000,3688000,3688000,3688000,3688000
NetIncomeLossAvailableToCommonStockholdersBasic,523855000,549118000,633748000,530103000,251274000
