key,2024-03-31,2023-12-31,2023-03-31,2022-12-31
ProfitLoss,147610000,,139574000,
DepreciationDepletionAndAmortization,143258000,,138758000,
GainLossOnDispositionOfAssets,-2000,,15000,
GainonSaleofNonDepreciableAssets,0,,54000,
DerivativeGainLossOnDerivativeNet,13092000,,4435000,
ShareBasedCompensation,5869000,,5578000,
AmortizationOfDebtDiscountPremium,1529000,,1517000,
GainLossFromUnconsolidatedLimitedPartnershipsNetOfDistributionsReceived,5172000,,-1024000,
OtherOperatingActivitiesCashFlowStatement,-79747000,,-63637000,
NetCashProvidedByUsedInOperatingActivities,200257000,,218310000,
PaymentsToAcquireRealEstateAndOtherAssets,20000,,12450000,
PaymentsForCapitalImprovements,52101000,,75622000,
PaymentsToAcquireInProcessResearchAndDevelopment,45512000,,52851000,
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,100000,,0,
PaymentsToAcquireEquityMethodInvestments,750000,,1250000,
ProceedsFromRealEstateAssetDispositions,0,,3024000,
NetProceedsFromInsuranceRecoveries,5271000,,764000,
NetCashProvidedByUsedInInvestingActivities,-93012000,,-138385000,
ProceedsFromRepaymentsOfCommercialPaper,-260000000,,-20000000,
ProceedsFromNotesPayable,346567000,,0,
RepaymentsOfNotesPayable,0,,362000,
PaymentsOfFinancingCosts,3450000,,0,
PaymentsOfDividendsMinorityInterest,4621000,,4429000,
PaymentsOfDividendsCommonStock,176191000,,166112000,
PaymentsOfDividendsPreferredStockAndPreferenceStock,922000,,922000,
ProceedsFromIssuanceOfCommonStock,303000,,204077000,
ProceedsFromPaymentsForOtherFinancingActivities,-567000,,-1660000,
NetCashProvidedByUsedInFinancingActivities,-94260000,,15021000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,12985000,,94946000,
CashAndCashEquivalentsAtCarryingValue,54601000,41314000,142411000,
RestrictedCash,13475000,13777000,13606000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,68076000,55091000,156017000,61071000
InterestPaidNet,32785000,,29516000,
IncomeTaxesPaid,0,,25000,
DistributionOnCommonUnitsDeclaredAndAccrued,176195000,,167659000,
ConstructionInProgressExpendituresIncurredButNotYetPaid,28643000,,31492000,
InterestCostsCapitalized,3416000,,2746000,
ConversionOfStockAmountConverted1,594000,,479000,
