key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
Land,2096912000,2096912000,,
BuildingsImprovementsAndOther,14286757000,14160799000,,
ConstructionInProgressGross,546500000,470282000,,
RealEstateInvestmentPropertyAtCost,16868923000,16727993000,,
RealEstateInvestmentPropertyAccumulatedDepreciation,5478208000,5327584000,,
RealEstateInvestmentPropertyNet,11390715000,11400409000,,
LandAvailableForDevelopment,73359000,73359000,,
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,41790000,41650000,,
RealEstateAssetsNet,11505864000,11515418000,,
CashAndCashEquivalentsAtCarryingValue,55776000,43018000,54601000,
RestrictedCash,13678000,13743000,13475000,
OtherAssets,236639000,232426000,,
AssetsHeldForSaleNotPartOfDisposalGroup,0,7764000,,
Assets,171106000,157632000,,
UnsecuredDebt,400000000,4620690000,,
SecuredDebt,360298000,360267000,,
AccruedLiabilitiesCurrentAndNoncurrent,611896000,683748000,,
OtherLiabilitiesCurrent,19000,19000,,
Liabilities,20800000,27100000,,
TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,24425000,22230000,,
PreferredStockValueOutstanding,9000,9000,,
CommonStockValueOutstanding,1166000,1166000,,
AdditionalPaidInCapital,7422913000,7417453000,,
AccumulatedDistributionsInExcessOfNetIncome,1467858000,1469557000,,
StockholdersEquity,5949708000,5942131000,,
MinorityInterestInOperatingPartnerships,154810000,155409000,,
ParentLPStockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,6104499000,6097521000,,
PreferredUnitsPreferredPartnersCapitalAccounts,66840000,66840000,,
GeneralPartnersCapitalAccount,5889484000,5882336000,,
LimitedPartnersCapitalAccount,512900000,155409000,412200000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-6635000,-7064000,,
MinorityInterestInJointVentures,28952000,27894000,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,6133470000,6125434000,6257390000,6279955000
LiabilitiesAndStockholdersEquity,11811957000,11812369000,,
