key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
Revenues,30470000,,25089000,
OperatingCostsAndExpensesExcludingDepreciationAndAmortizationAndRealEstateTaxesAndInsurance,124955000,,118199000,
RealEstateTaxesAndInsurance,76398000,,79603000,
DepreciationAndAmortization,152350000,,143020000,
PropertyOperatingExpenses,353703000,,340822000,
OtherCostAndExpenseOperating,20578000,,19995000,
GeneralAndAdministrativeExpense,15619000,,17045000,
InterestExpense,45161000,,40361000,
GainLossOnSaleOfPropertyPlantEquipment,72000000,,-2000,
OtherNonoperatingIncomeExpense,834000,,23526000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,186979000,,148923000,
IncomeTaxExpenseBenefit,1038000,,1795000,
IncomeLossFromContinuingOperationsBeforeEquityMethodInvestments,185941000,,147128000,
IncomeLossFromEquityMethodInvestments,465000,,482000,
ProfitLoss,186406000,,147610000,
NetIncomeLossAttributableToNoncontrollingInterest,4733000,,3861000,
NetIncomeLoss,186406000,,147610000,
PreferredStockDividendsIncomeStatementImpact,922000,,922000,
NetIncomeLossAvailableToCommonStockholdersBasic,185484000,,146688000,
EarningsPerShareBasic,1.55,,1.22,
BasicEarningsPerUnit,1.55,,1.22,
EarningsPerShareDiluted,1.54,,1.22,
DilutedEarningsPerUnit,1.54,,1.22,
