key,2024,2023,2022,2021,2020
CashAndCashEquivalentsAtCarryingValue,1284000000,1543000000,3714000000,3593000000,
ShortTermInvestments,6721000000,6416000000,6859000000,7224000000,
AccountsReceivableNetCurrent,6128000000,5998000000,5551000000,5462000000,
InventoryNet,5217000000,5293000000,4616000000,4313000000,
OtherAssetsCurrent,2584000000,2425000000,2318000000,1955000000,
AssetsCurrent,21935000000,21675000000,23059000000,22548000000,
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,,5569000000,5413000000,5221000000,
Goodwill,40986000000,41425000000,40502000000,41961000000,6831000000
IntangibleAssetsNetExcludingGoodwill,13225000000,14844000000,15595000000,17740000000,
DeferredIncomeTaxAssetsNet,3657000000,3477000000,3403000000,3169000000,
OtherAssetsNoncurrent,4047000000,3959000000,3008000000,2443000000,
Assets,89981000000,90948000000,90981000000,93083000000,
DebtCurrent,1092000000,20000000,3742000000,11000000,
AccountsPayableCurrent,2410000000,2662000000,2276000000,2106000000,
DeferredCompensationLiabilityCurrent,2375000000,1949000000,2121000000,2482000000,
AccruedIncomeTaxesCurrent,1330000000,840000000,704000000,435000000,
OtherLiabilitiesCurrent,3582000000,3581000000,3551000000,3475000000,
LiabilitiesCurrent,10789000000,9051000000,12394000000,8509000000,
LongTermDebtAndCapitalLeaseObligations,23932000000,24344000000,20372000000,26378000000,
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,1101000000,1093000000,1113000000,1557000000,
AccruedIncomeTaxesNoncurrent,1859000000,2360000000,2087000000,2251000000,
DeferredIncomeTaxLiabilitiesNet,515000000,708000000,884000000,1028000000,
OtherLiabilitiesNoncurrent,1365000000,1727000000,1410000000,1756000000,
Liabilities,39561000000,39283000000,38260000000,41481000000,
CommonStockValue,0,0,0,0,
AdditionalPaidInCapital,23129000000,24590000000,24566000000,26319000000,
RetainedEarningsAccumulatedDeficit,30403000000,30392000000,30250000000,28594000000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-3318000000,-3499000000,-2265000000,-3485000000,
StockholdersEquity,50214000000,51483000000,52551000000,51428000000,
MinorityInterest,206000000,182000000,171000000,174000000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,50420000000,51665000000,52722000000,51602000000,0
LiabilitiesAndStockholdersEquity,89981000000,90948000000,90981000000,93083000000,
PropertyPlantAndEquipmentNet,6131000000,5569000000,,,
