key,2024,2023,2022,2021,2020
ProfitLoss,3705000000,3784000000,5062000000,3630000000,4806000000
DepreciationDepletionAndAmortization,2647000000,2697000000,2707000000,2702000000,2663000000
ProvisionForDoubtfulAccounts,90000000,73000000,58000000,128000000,99000000
DeferredIncomeTaxesAndTaxCredits,-508000000,-226000000,-604000000,-422000000,-1315000000
ShareBasedCompensation,393000000,355000000,359000000,344000000,297000000
GainsLossesOnExtinguishmentOfDebt,0,-53000000,0,-308000000,-406000000
AssetImpairmentCharges,371000000,0,515000000,0,0
OtherNoncashIncomeExpense,-573000000,-270000000,-138000000,-251000000,-217000000
IncreaseDecreaseInAccountsAndNotesReceivable,391000000,576000000,477000000,761000000,-1291000000
IncreaseDecreaseInInventories,139000000,939000000,560000000,-78000000,577000000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,391000000,696000000,213000000,531000000,-44000000
IncreaseDecreaseInOtherOperatingCapitalNet,345000000,148000000,65000000,549000000,609000000
NetCashProvidedByUsedInOperatingActivities,6787000000,6039000000,7346000000,6240000000,7234000000
PaymentsToAcquireBusinessesNetOfCashAcquired,211000000,1867000000,91000000,994000000,488000000
PaymentsToAcquirePropertyPlantAndEquipment,1587000000,1459000000,1368000000,1355000000,1213000000
PaymentsToAcquireInvestments,7748000000,7514000000,9882000000,11808000000,11039000000
ProceedsFromSaleMaturityAndCollectionsOfInvestments,7441000000,7343000000,9692000000,11345000000,9574000000
PaymentsForProceedsFromOtherInvestingActivities,261000000,-4000000,10000000,54000000,37000000
NetCashProvidedByUsedInInvestingActivities,-2366000000,-3493000000,-1659000000,-2866000000,-3203000000
ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,1073000000,0,0,-311000000,-17000000
ProceedsFromShortTermDebt,0,2284000000,0,2789000000,0
RepaymentsOfShortTermDebt,0,2279000000,0,2853000000,0
ProceedsFromIssuanceOfLongTermDebt,0,5409000000,0,7172000000,5568000000
RepaymentsOfLongTermDebt,0,6012000000,1000000,7367000000,6110000000
PaymentsOfDividendsCommonStock,3666000000,3616000000,3383000000,3120000000,2894000000
ProceedsFromIssuanceOrSaleOfEquity,284000000,308000000,429000000,474000000,662000000
PaymentsForRepurchaseOfCommonStock,2138000000,645000000,2544000000,652000000,1326000000
ProceedsFromPaymentsForOtherFinancingActivities,-3000000,-409000000,163000000,-268000000,-81000000
NetCashProvidedByUsedInFinancingActivities,-4450000000,-4960000000,-5336000000,-4136000000,-4198000000
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-230000000,243000000,-231000000,215000000,-86000000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-259000000,-2171000000,121000000,-547000000,-253000000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,1284000000,1543000000,3714000000,3593000000,4140000000
IncomeTaxesPaidNet,1622000000,1548000000,996000000,1250000000,878000000
InterestPaidNet,826000000,606000000,540000000,582000000,643000000
