key,2024,2023,2022,2021,2020
RevenueFromContractWithCustomerExcludingAssessedTax,32364000000,31227000000,31686000000,30117000000,28913000000
CostOfGoodsAndServicesSold,11216000000,10719000000,10145000000,10483000000,9424000000
ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,2735000000,2696000000,2746000000,2493000000,2331000000
SellingGeneralAndAdministrativeExpense,10736000000,10415000000,10292000000,10148000000,10109000000
AmortizationOfIntangibleAssets,1693000000,1698000000,1733000000,1783000000,1756000000
RestructuringChargesNetOfRestructuringReversalsIncludingCostOfProductSoldImpact,226000000,375000000,60000000,293000000,118000000
LossContingencyAccrualProvision,149000000,-30000000,95000000,118000000,313000000
OtherOperatingIncomeExpenseNet,-464000000,131000000,-862000000,-315000000,-71000000
OperatingIncomeLoss,5144000000,5485000000,5752000000,4484000000,4791000000
OtherNonoperatingIncomeExpense,412000000,515000000,318000000,336000000,356000000
InterestExpense,719000000,636000000,553000000,925000000,1092000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,4837000000,5364000000,5517000000,3895000000,4055000000
IncomeTaxExpenseBenefit,1133000000,1580000000,456000000,265000000,-751000000
ProfitLoss,3705000000,3784000000,5062000000,3630000000,4806000000
NetIncomeLossAttributableToNoncontrollingInterest,28000000,26000000,22000000,24000000,17000000
NetIncomeLoss,3676000000,3758000000,5039000000,3606000000,4789000000
EarningsPerShareBasic,2.77,2.83,3.75,2.68,3.57
EarningsPerShareDiluted,2.76,2.82,3.73,2.66,3.54
WeightedAverageNumberOfSharesOutstandingBasic,1327700000,1329800000,1342400000,1344900000,1340700000
WeightedAverageNumberOfDilutedSharesOutstanding,1330200000,1332800000,1351400000,1354000000,1351100000
