key,2024-01-26,2023-10-27,2023-07-28,2023-04-28,2023-04-01,2023-01-27,2022-10-28,2022-08-30,2022-07-29,2022-05-31,2022-05-13,2022-04-29
CashAndCashEquivalentsAtCarryingValue,1623000000,,,1543000000,,,,,,,,
ShortTermInvestments,6698000000,,,6416000000,,,,,,,,
AccountsReceivableNetCurrent,5968000000,,,5998000000,,,,,,,,
InventoryNet,5726000000,,,5293000000,,,,,,,,
OtherAssetsCurrent,2499000000,,,2425000000,,,,,,,,
AssetsCurrent,22513000000,,,21675000000,,,,,,,,
PropertyPlantAndEquipmentNet,5838000000,,,5569000000,,,,,,,,
Goodwill,2255000000,,3000000000,2255000000,,66000000,,660000000,,,615000000,
IntangibleAssetsNetExcludingGoodwill,13690000000,,,14844000000,,,,,,,,
DeferredIncomeTaxAssetsNet,3599000000,,,3477000000,,,,,,,,
OtherAssetsNoncurrent,4036000000,,,3959000000,,,,,,,,
Assets,90836000000,,,90948000000,,,,,,,,
DebtCurrent,1000000000,,,0,,,,,,,,
AccountsPayableCurrent,1992000000,,,2662000000,,,,,,,,
DeferredCompensationLiabilityCurrent,2174000000,,,1949000000,,,,,,,,
AccruedIncomeTaxesCurrent,1109000000,,,840000000,,,,,,,,
OtherLiabilitiesCurrent,3488000000,,,3581000000,,,,,,,,
LiabilitiesCurrent,9793000000,,,9051000000,,,,,,,,
LongTermDebtAndCapitalLeaseObligations,24153000000,,,24344000000,,,,,,,,
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,1049000000,,,1093000000,,,,,,,,
AccruedIncomeTaxesNoncurrent,1821000000,,,2360000000,,,,,,,,
DeferredIncomeTaxLiabilitiesNet,615000000,,,708000000,,,,,,,,
OtherLiabilitiesNoncurrent,1410000000,,,1727000000,,,,,,,,
Liabilities,38840000000,,,39283000000,,,,,,,,
CommitmentsAndContingencies,,,,,,,,,,,,
CommonStockValue,0,,,0,,,,,,,,
AdditionalPaidInCapital,24589000000,,,24590000000,,,,,,,,
RetainedEarningsAccumulatedDeficit,30661000000,,,30392000000,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-3459000000,,,-3499000000,,,,,,,,
StockholdersEquity,51792000000,,,51483000000,,,,,,,,
MinorityInterest,204000000,,,182000000,307000000,,,,,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,167000000,51647000000,51366000000,93000000,,92000000,52057000000,,52843000000,,,474000000
LiabilitiesAndStockholdersEquity,90836000000,,,90948000000,,,,,,,,
