key,2024-01-26,2023-10-27,2023-07-28,2023-04-28,2023-04-01,2023-01-27,2022-10-28,2022-08-30,2022-07-29,2022-05-31,2022-05-13,2022-04-29
ProfitLoss,15000000,911000000,797000000,,,6000000,435000000,,931000000,,,
DepreciationDepletionAndAmortization,1993000000,,,,,2018000000,,,,,,
ProvisionForDoubtfulAccounts,62000000,,,,,54000000,,,,,,
DeferredIncomeTaxesAndTaxCredits,-250000000,,,,,-78000000,,,,,,
ShareBasedCompensation,303000000,,,,,280000000,,,,,,
GainsLossesOnExtinguishmentOfDebt,0,,,,,-53000000,,,-53000000,,,
OtherNoncashIncomeExpense,-265000000,,,,,-182000000,,,,,,
IncreaseDecreaseInAccountsAndNotesReceivable,140000000,,,,,408000000,,,,,,
IncreaseDecreaseInInventories,530000000,,,,,936000000,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-253000000,,,,,163000000,,,,,,
IncreaseDecreaseInOtherOperatingCapitalNet,485000000,,,,,344000000,,,,,,
NetCashProvidedByUsedInOperatingActivities,4010000000,,,,,3579000000,,,,,,
PaymentsToAcquireBusinessesNetOfCashAcquired,74000000,,,,,1867000000,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,1161000000,,,,,1081000000,,,,,,
PaymentsToAcquireInvestments,5422000000,,,,,5472000000,,,,,,
ProceedsFromSaleMaturityAndCollectionsOfInvestments,5142000000,,,,,5387000000,,,,,,
PaymentsForProceedsFromOtherInvestingActivities,155000000,,,,,-15000000,,,,,,
NetCashProvidedByUsedInInvestingActivities,-1670000000,,,,,-3018000000,,,,,,
ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,1010000000,,,,,625000000,,,,,,
ProceedsFromShortTermDebt,0,,,,,2284000000,,,,2300000000,,
ProceedsFromIssuanceOfLongTermDebt,0,,,,,3430000000,,,,,,
RepaymentsOfLongTermDebt,0,,,,,3083000000,,,,,,
PaymentsOfDividendsCommonStock,2753000000,,,,,2711000000,,,,,,
ProceedsFromIssuanceOrSaleOfEquity,206000000,,,,,209000000,,,,,,
PaymentsForRepurchaseOfCommonStock,510000000,,,,,548000000,,,,,,
ProceedsFromPaymentsForOtherFinancingActivities,-44000000,,,,,-276000000,,,,,,
NetCashProvidedByUsedInFinancingActivities,-2091000000,,,,,-70000000,,,,,,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-170000000,,,,,317000000,,,,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,80000000,,,,,808000000,,,,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,1623000000,,,1543000000,,4521000000,,,,,,3714000000
IncomeTaxesPaidNet,1403000000,,,,,1314000000,,,,,,
InterestPaidNet,568000000,,,,,262000000,,,,,,
