key,2024-01-26,2023-10-27,2023-07-28,2023-04-28,2023-04-01,2023-01-27,2022-10-28,2022-08-30,2022-07-29,2022-05-31,2022-05-13,2022-04-29
RevenueFromContractWithCustomerExcludingAssessedTax,111000000,,,,,22612000000,,,,,,
CostOfGoodsAndServicesSold,8172000000,,,,,7740000000,,,,,,
ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,2060000000,,,,,2055000000,,,,,,
SellingGeneralAndAdministrativeExpense,7971000000,,,,,7799000000,,,,,,
AmortizationOfIntangibleAssets,1274000000,,,,,1275000000,,,,,,
RestructuringChargesNetOfRestructuringReversalsIncludingCostOfProductSoldImpact,114000000,,,,,81000000,,,,,,
LossContingencyAccrualProvision,105000000,,,,,0,,,,,,
OtherOperatingIncomeExpenseNet,13000000,,,,,187000000,,,,,,
OperatingIncomeLoss,8795000000,,,,,8228000000,,,,,,
OtherNonoperatingIncomeExpense,407000000,,,,,342000000,,,,,,
InterestExpense,517000000,,,,,449000000,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,3982000000,,,,,3813000000,,,,,,
IncomeTaxExpenseBenefit,936000000,,,,,1218000000,,,,,,
ProfitLoss,15000000,911000000,797000000,,,6000000,435000000,,931000000,,,
NetIncomeLossAttributableToNoncontrollingInterest,23000000,,,,,17000000,,,,,,
NetIncomeLoss,3022000000,,,,,2579000000,,,,,,
EarningsPerShareBasic,2.27,,,,,1.94,,,,,,
EarningsPerShareDiluted,2.27,,,,,1.94,,,,,,
WeightedAverageNumberOfSharesOutstandingBasic,1330100000,,,,,1329600000,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,1332400000,,,,,1332800000,,,,,,
