key,2025-01-24,2024-10-25,2024-07-26,2024-04-26,2024-01-26,2023-10-27,2023-07-28,2023-04-28
CashAndCashEquivalentsAtCarryingValue,1240000000,,,1284000000,,,,
ShortTermInvestments,6682000000,,,6721000000,,,,
AccountsReceivableNetCurrent,6115000000,,,6128000000,,,,
InventoryNet,5610000000,,,5217000000,,,,
OtherAssetsCurrent,2865000000,,,2584000000,,,,
AssetsCurrent,22513000000,,,21935000000,,,,
PropertyPlantAndEquipmentNet,6593000000,,,6131000000,,,,
Goodwill,2254000000,,,2255000000,,,,
IntangibleAssetsNetExcludingGoodwill,12184000000,,,13225000000,,,,
DeferredIncomeTaxAssetsNet,3614000000,,,3657000000,,,,
OtherAssetsNoncurrent,4250000000,,,4047000000,,,,
Assets,89973000000,,,89981000000,,,,
DebtCurrent,0,,,1100000000,,,,
AccountsPayableCurrent,2286000000,,,2410000000,,,,
DeferredCompensationLiabilityCurrent,2281000000,,,2375000000,,,,
AccruedIncomeTaxesCurrent,1125000000,,,1330000000,,,,
OtherLiabilitiesCurrent,3526000000,,,3582000000,,,,
LiabilitiesCurrent,11840000000,,,10789000000,,,,
LongTermDebtAndCapitalLeaseObligations,23985000000,,,23932000000,,,,
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,1063000000,,,1101000000,,,,
AccruedIncomeTaxesNoncurrent,1485000000,,,1859000000,,,,
DeferredIncomeTaxLiabilitiesNet,452000000,,,515000000,,,,
OtherLiabilitiesNoncurrent,1533000000,,,1365000000,,,,
Liabilities,40358000000,,,39561000000,,,,
CommitmentsAndContingencies,,,,,,,,
CommonStockValue,0,,,0,,,,
AdditionalPaidInCapital,20910000000,,,23129000000,,,,
RetainedEarningsAccumulatedDeficit,31317000000,,,30403000000,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-2839000000,,,-3318000000,,,,
StockholdersEquity,49387000000,,,50214000000,,,,
MinorityInterest,228000000,,,206000000,,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-527000000,48716000000,48160000000,-529000000,167000000,51647000000,51366000000,93000000
LiabilitiesAndStockholdersEquity,89973000000,,,89981000000,,,,
