key,2025-01-24,2024-10-25,2024-07-26,2024-04-26,2024-01-26,2023-10-27,2023-07-28,2023-04-28
ProfitLoss,9000000,1278000000,1049000000,,15000000,911000000,797000000,
DepreciationDepletionAndAmortization,2021000000,,,,1993000000,,,
ProvisionForDoubtfulAccounts,96000000,,,,62000000,,,
DeferredIncomeTaxesAndTaxCredits,-81000000,,,,-250000000,,,
ShareBasedCompensation,340000000,,,,303000000,,,
OtherNoncashIncomeExpense,-14000000,,,,-265000000,,,
IncreaseDecreaseInAccountsAndNotesReceivable,184000000,,,,140000000,,,
IncreaseDecreaseInInventories,478000000,,,,530000000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-157000000,,,,-253000000,,,
IncreaseDecreaseInOtherOperatingCapitalNet,685000000,,,,485000000,,,
NetCashProvidedByUsedInOperatingActivities,4516000000,,,,4010000000,,,
PaymentsToAcquireBusinessesNetOfCashAcquired,98000000,,,,74000000,,,
PaymentsToAcquirePropertyPlantAndEquipment,1400000000,,,,1161000000,,,
PaymentsToAcquireInvestments,6093000000,,,,5422000000,,,
ProceedsFromSaleMaturityAndCollectionsOfInvestments,6255000000,,,,5142000000,,,
PaymentsForProceedsFromOtherInvestingActivities,111000000,,,,155000000,,,
NetCashProvidedByUsedInInvestingActivities,-1447000000,,,,-1670000000,,,
ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,-1070000000,,,,1010000000,,,
ProceedsFromIssuanceOfLongTermDebt,3209000000,,,,0,,,
PaymentsOfDividendsCommonStock,2692000000,,,,2753000000,,,
ProceedsFromIssuanceOrSaleOfEquity,400000000,,,,206000000,,,
PaymentsForRepurchaseOfCommonStock,2961000000,,,,510000000,,,
ProceedsFromPaymentsForOtherFinancingActivities,96000000,,,,-44000000,,,
NetCashProvidedByUsedInFinancingActivities,-3018000000,,,,-2091000000,,,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-95000000,,,,-170000000,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-44000000,,,,80000000,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,1240000000,,,1284000000,1623000000,,,1543000000
IncomeTaxesPaidNet,1515000000,,,,1403000000,,,
InterestPaidNet,567000000,,,,568000000,,,
