key,2025-01-24,2024-10-25,2024-07-26,2024-04-26,2024-01-26,2023-10-27,2023-07-28,2023-04-28
RevenueFromContractWithCustomerExcludingAssessedTax,24524000000,,,,23689000000,,,
CostOfGoodsAndServicesSold,8485000000,,,,8172000000,,,
ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,2048000000,,,,2060000000,,,
SellingGeneralAndAdministrativeExpense,8129000000,,,,7971000000,,,
AmortizationOfIntangibleAssets,1243000000,,,,1274000000,,,
RestructuringChargesNetOfRestructuringReversalsIncludingCostOfProductSoldImpact,120000000,,,,114000000,,,
LossContingencyAccrualProvision,104000000,,,,105000000,,,
OtherOperatingIncomeExpenseNet,38000000,,,,13000000,,,
OperatingIncomeLoss,39000000,,,,8000000,,,
OtherNonoperatingIncomeExpense,403000000,,,,407000000,,,
InterestExpenseNonoperating,555000000,,,,517000000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,4367000000,,,,3982000000,,,
IncomeTaxExpenseBenefit,737000000,,,,936000000,,,
ProfitLoss,9000000,1278000000,1049000000,,15000000,911000000,797000000,
NetIncomeLossAttributableToNoncontrollingInterest,24000000,,,,23000000,,,
NetIncomeLoss,3606000000,,,,3022000000,,,
EarningsPerShareBasic,2.80,,,,2.27,,,
EarningsPerShareDiluted,2.79,,,,2.27,,,
WeightedAverageNumberOfSharesOutstandingBasic,1286700000,,,,1330100000,,,
WeightedAverageNumberOfDilutedSharesOutstanding,1290600000,,,,1332400000,,,
