key,2025-05-12,2025-03-31,2025-02-10,2024-12-31,2024-03-31,2023-12-31
ProfitLoss,,39806000,,,-56987000,
OperatingInterestPaidReveivedInKind,,2617000,,,,
NetAdjustmentsForExpensesFromPre-SpinPeriods,,24960000,,,,
ShareBasedCompensation,,,,,7158000,
AmortizationOfDebtDiscountPremium,,,,,15000,
AmortizationOfFinancingCostsAndDiscounts,,157000,,,,
IncreaseDecreaseInInventories,,,,,-232172000,
IncreaseDecreaseInEarnestMoneyDepositsOutstanding,,47206000,,,,
IncreaseDecreaseInOtherOperatingLiabilities,,6123000,,,,
IncreaseDecreaseInDeferredLiabilities,,65000,,,,
NetCashProvidedByUsedInOperatingActivities,,21288000,,,182358000,
ProceedsFromDepositsOnRealEstateSales,,584848000,,,,
PaymentsToAcquireLand,700000000,858938000,,,,
InvestmentInHomesiteInventoriesAndOtherRelatedAssets,,978480000,,,,
TakedownsOfHomesiteInventoriesAndOtherRelatedAssets,,646361000,,,,
NetCashProvidedByUsedInInvestingActivities,,-606209000,,,,
CashContributionFromLennarSpinOff,,415152000,,,,
PaymentsOfDebtIssuanceCosts,,,,,16079000,
NetTransfersToPredecessor,,,,,-166279000,
PaymentsForSpinOffDealCosts,,75131000,,,,
FinancingCostPaymentsForRevolvingCreditFacility,,9577000,,,,
ProceedsFromLongTermLinesOfCredit,,450000000,,,,
RepaymentsOfLongTermLinesOfCredit,,100000000,,,,
RepaymentsOfNotesPayable,,6000000,,,,
NetCashProvidedByUsedInFinancingActivities,,674444000,,,-182358000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,,89523000,,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,89523000,,0,,
HomesiteInventoryContributedByLennarNetOfOptionDeposits,,4911279000,,,,
DecreaseInDeferredTaxLiabilitiesNonCash,,59836000,,,,
LiabilitiesForTransactionDealCostsAndSellerNotes,,-96948000,,,,
NonCashImpactsOfCommonStockIssuedSpinOff,,-1660000,,,,
NonCashIncreaseInAdditionalPaidInCapitalSpinOff,,-4872506000,,,,
ReversalOfPredecessorEquityAtSpinOff,,5158372000,,,,
OptionDepositNonCash,,-90264000,,,,
DevelopmentGuaranteesHoldbackLiabilities,,-100000000,,,,
IncreaseInDeferredTaxLiabilitiesNonCash,,-116660000,,,,
DividendsDeclaredButNotPaid,,63081000,,,,
InterestPaidNet,,571000,,,,
