key,2025-05-12,2025-03-31,2025-02-10,2024-12-31,2024-03-31,2023-12-31
Revenues,,82698000,,,,
ManagementFeeExpense,,12100000,,,,
SellingGeneralAndAdministrativeExpenseFromPreSpinPeriod,,24960000,,,56987000,
OperatingExpenses,,37064000,,,56987000,
OperatingIncomeLoss,,45634000,,,-56987000,
InvestmentIncomeInterest,,1100000,,,,
InterestExpenseNonoperating,,2536000,,,,
NonoperatingIncomeExpense,,2500000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,44186000,,,-56987000,
IncomeTaxExpenseBenefit,,4400000,,,0,
NetIncomeLoss,,-24960000,,,-56987000,
AdjustmentForExpensesFromPreSpinPeriods,,24960000,,,,
NetIncomeLossAvailableToCommonStockholdersBasic,,64766000,,,-56987000,
EarningsPerShareBasic,,0.39,,,,
EarningsPerShareDiluted,,0.39,,,,
WeightedAverageNumberOfSharesOutstandingBasic,,166003497,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,,166003497,,,,
