key,2024,2023,2022,2021,2020
CashAndCashEquivalentsAtCarryingValue,,69807000,95966000,98564000,94254000
AccountsReceivableNetCurrent,687112000,663893000,709321000,647335000,
InventoryNet,342274000,385865000,441694000,414543000,
PrepaidExpenseAndOtherAssetsCurrent,105158000,110638000,128108000,108916000,
AssetsCurrent,1193906000,1230203000,1375089000,1269358000,
PropertyPlantAndEquipmentNet,770280000,803374000,778600000,799365000,
Goodwill,668914000,670108000,660170000,648622000,550270000
OtherIntangibleAssetsNet,257143000,285429000,306054000,307450000,
DeferredIncomeTaxAssetsNet,34586000,31199000,27080000,39496000,
OtherAssetsNoncurrent,315170000,335242000,345402000,262507000,
Assets,3239999000,3355555000,3492395000,3326798000,2560652000
AccountsPayableCurrent,215843000,210411000,252538000,272911000,
AccruedLiabilitiesCurrent,187701000,196138000,205253000,208811000,
EmployeeRelatedLiabilitiesCurrent,184532000,160308000,200031000,236265000,
ContractWithCustomerLiability,204166000,202022000,192759000,192648000,149106000
TaxesPayableCurrent,193328000,219984000,191096000,134769000,
ShortTermDebtAndLongTermDebtCurrentMaturities,182623000,192219000,106054000,101134000,
LiabilitiesCurrent,1168193000,1181082000,1147731000,1146538000,
LongTermDebtNoncurrent,1831265000,1888620000,1908480000,1580808000,
DeferredIncomeTaxLiabilitiesNet,103953000,108679000,111360000,62230000,
OtherLiabilitiesNoncurrent,263478000,327112000,300031000,365801000,
Liabilities,3366889000,3505493000,3467602000,3155377000,
PreferredStockValue,0,0,0,0,
CommonStockValue,448000,448000,448000,448000,
AdditionalPaidInCapitalCommonStock,897025000,871110000,850368000,825974000,
TreasuryStockValue,9049925000,8212437000,7325656000,6259049000,
RetainedEarningsAccumulatedDeficit,8371420000,7510756000,6726866000,5859272000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-345858000,-319815000,-227233000,-255224000,-31101000
StockholdersEquity,-126890000,-149938000,24793000,171421000,448000
LiabilitiesAndStockholdersEquity,3239999000,3355555000,3492395000,3326798000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,59362000,69807000,95966000,98564000,
