key,2024,2023,2022,2021,2020
NetIncomeLoss,863140000,788778000,872502000,768985000,602739000
Depreciation,50352000,48951000,46784000,44982000,42044000
AmortizationOfDeferredCharges,72869000,72213000,66239000,63075000,56665000
Deferredtaxbenefitprovisionexcludingdiscretetaxitems,-5216000,-13373000,26517000,563000,-12784000
ShareBasedCompensation,19979000,17928000,19661000,19595000,18687000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,0,0,6849000,
OtherNoncashIncomeExpense,22982000,0,0,-381000,2399000
IncreaseDecreaseInAccountsReceivable,52999000,-50296000,83417000,66468000,4495000
IncreaseDecreaseInInventories,-24127000,-71021000,43392000,118718000,3836000
IncreaseDecreaseInOtherOperatingAssets,1015000,-20666000,16263000,5040000,4763000
IncreaseDecreaseInAccountsPayable,12083000,-40554000,-13826000,93973000,-17803000
IncreaseDecreaseInAccruedIncomeTaxesPayable,-11931000,12260000,55859000,19688000,14049000
IncreaseDecreaseInOtherOperatingLiabilities,19939000,-62312000,-71597000,80960000,36595000
NetCashProvidedByUsedInOperatingActivities,968346000,965874000,859067000,908825000,724699000
ProceedsFromSaleOfPropertyPlantAndEquipment,1631000,835000,399000,3652000,3106000
PaymentsToAcquirePropertyPlantAndEquipment,103898000,105323000,121241000,107580000,92494000
ProceedsFromGovernmentFunding,0,6094000,29670000,,
PaymentsToAcquireBusinessesNetOfCashAcquired,10091000,5811000,37951000,220862000,6242000
PaymentsForProceedsFromOtherInvestingActivities,7104000,27489000,10272000,-10682000,4730000
NetCashProvidedByUsedInInvestingActivities,-119462000,-131694000,-139395000,-314108000,-100360000
ProceedsFromBorrowings,2156565000,2126797000,2307256000,2427519000,1489040000
RepaymentsOfBorrowings,2175291000,2097023000,1947398000,2035546000,1483869000
ProceedsFromStockOptionsExercised,23719000,19234000,33216000,20463000,26719000
PaymentsForRepurchaseOfCommonStock,849997000,900000000,1099998000,999998000,774998000
PaymentForContingentConsiderationLiabilityFinancingActivities,0,7767000,7912000,0,0
ProceedsFromPaymentsForOtherFinancingActivities,-2884000,-826000,-1203000,-2987000,-800000
NetCashProvidedByUsedInFinancingActivities,-855977000,-859585000,-716039000,-590549000,-743908000
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-3352000,-754000,-6231000,142000,6038000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-10445000,-26159000,-2598000,4310000,-113531000
CashAndCashEquivalentsAtCarryingValue,,69807000,95966000,98564000,94254000
InterestPaidNet,75937000,75618000,52314000,41338000,37772000
IncomeTaxesPaid,209374000,178255000,114038000,152657000,134674000
PaymentsOfExciseTaxOnRepurchasesOfCommonStock,8089000,0,0,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,59362000,69807000,95966000,98564000,
