key,2024,2023,2022,2021,2020
Revenues,2930228000,2906661000,3118721000,2960615000,2405172000
CostOfGoodsAndServicesSold,1110886000,1144167000,1227230000,1181020000,954697000
GrossProfit,2325583000,2241286000,2308042000,2171553000,1801031000
ResearchAndDevelopmentExpense,189357000,185284000,177122000,169766000,140102000
SellingGeneralAndAdministrativeExpense,936303000,904106000,938461000,943976000,820221000
AmortizationOfDeferredCharges,72869000,72213000,66239000,63075000,56665000
InterestExpense,74631000,77366000,55392000,43242000,38616000
RestructuringCharges,19771000,32735000,9556000,5239000,10516000
OtherNonoperatingIncomeExpense,4571000,4146000,9320000,3106000,13832000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1037223000,973728000,1070592000,949361000,748743000
IncomeTaxExpenseBenefit,174083000,184950000,198090000,180376000,146004000
NetIncomeLoss,863140000,788778000,872502000,768985000,602739000
EarningsPerShareBasic,40.67,36.10,38.79,33.25,25.24
WeightedAverageNumberOfSharesOutstandingBasic,21221839,21848122,22491790,23129862,23882648
EarningsPerShareDiluted,40.48,35.90,38.41,32.78,24.91
WeightedAverageNumberOfDilutedSharesOutstanding,21320641,21971528,22718290,23457630,24199230
