key,2024-03-31,2023-12-31,2023-03-31,2022-12-31
CostOfGoodsAndServicesSold,105889000,,96421000,
Revenues,0,,0,
GrossProfit,548133000,,546566000,
ResearchAndDevelopmentExpense,46415000,,45477000,
SellingGeneralAndAdministrativeExpense,234390000,,234638000,
AmortizationOfDeferredCharges,18228000,,17779000,
InterestExpense,19232000,,18184000,
RestructuringCharges,9664000,,4274000,
OtherNonoperatingIncomeExpense,343000,,396000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,220547000,,226610000,
IncomeTaxExpenseBenefit,43038000,,38184000,
NetIncomeLoss,177509000,,188426000,
EarningsPerShareBasic,8.28,,8.53,
WeightedAverageNumberOfSharesOutstandingBasic,21437673,,22083456,
EarningsPerShareDiluted,8.24,,8.47,
WeightedAverageNumberOfDilutedSharesOutstanding,21543313,,22253435,
ComprehensiveIncomeNetOfTax,199250000,,187143000,
