key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,64300000,59362000,70191000,69807000
AccountsReceivableNetCurrent,638390000,687112000,,
InventoryNet,358786000,342274000,,
PrepaidExpenseAndOtherAssetsCurrent,103328000,105158000,,
AssetsCurrent,1164795000,1193906000,,
PropertyPlantAndEquipmentNet,778004000,770280000,,
Goodwill,0,668914000,665816000,
IntangibleAssetsNetExcludingGoodwill,3587000,3807000,,
DeferredIncomeTaxAssetsNet,35673000,34586000,,
OtherAssetsNoncurrent,331160000,315170000,,
Assets,-7708217000,3239999000,3283117000,
AccountsPayableCurrent,201423000,215843000,,
AccruedLiabilitiesCurrent,182086000,187701000,,
EmployeeRelatedLiabilitiesCurrent,134075000,184532000,,
DeferredRevenue,232833000,204166000,216659000,202022000
TaxesPayableCurrent,216423000,193328000,,
ShortTermDebtAndLongTermDebtCurrentMaturities,55754000,182623000,,
LiabilitiesCurrent,1149695000,1168193000,,
LongTermDebtNoncurrent,846633000,1831265000,,
DeferredIncomeTaxLiabilitiesNet,103857000,103953000,,
OtherLiabilitiesNoncurrent,271869000,263478000,,
Liabilities,3416661000,3366889000,,
CommitmentsAndContingencies,,,,
PreferredStockValue,0,0,,
CommonStockValue,448000,448000,,
AdditionalPaidInCapitalCommonStock,903060000,897025000,,
TreasuryStockValue,9269382000,9049925000,,
RetainedEarningsAccumulatedDeficit,8534991000,8371420000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-351099000,-345858000,-298074000,-319815000
StockholdersEquity,-351099000,-345858000,-158717000,-149938000
LiabilitiesAndStockholdersEquity,3234679000,3239999000,,
