key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
NetIncomeLoss,163587000,,177509000,
Depreciation,1491000,,1522000,
AmortizationOfDeferredCharges,17193000,,18228000,
DeferredIncomeTaxExpenseBenefit,-879000,,-2063000,
ShareBasedCompensation,5139000,,4722000,
IncreaseDecreaseInAccountsReceivable,-59231000,,1708000,
IncreaseDecreaseInInventories,9917000,,3954000,
IncreaseDecreaseInOtherOperatingAssets,1778000,,7469000,
IncreaseDecreaseInAccountsPayableTrade,-16111000,,-15944000,
IncreaseDecreaseInAccruedIncomeTaxesPayable,18213000,,16632000,
OtherOperatingActivitiesCashFlowStatement,-52693000,,-8488000,
NetCashProvidedByUsedInOperatingActivities,194449000,,189987000,
PaymentsToAcquirePropertyPlantAndEquipment,17255000,,17391000,
PaymentsToAcquireBusinessesNetOfCashAcquired,0,,1000000,
PaymentsForProceedsFromDerivativeInstrumentInvestingActivities,-10348000,,-9456000,
NetCashProvidedByUsedInInvestingActivities,-6907000,,-8935000,
ProceedsFromBorrowings,512496000,,449863000,
RepaymentsOfBorrowings,479326000,,418280000,
ProceedsFromStockOptionsExercised,2198000,,1831000,
PaymentsForRepurchaseOfCommonStock,218749000,,212499000,
ProceedsFromPaymentsForOtherFinancingActivities,-764000,,0,
NetCashProvidedByUsedInFinancingActivities,-184145000,,-179085000,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,1532000,,-1583000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,4929000,,384000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,64300000,59362000,70191000,69807000
