key,2024,2023,2022,2021,2020
CashAndCashEquivalentsAtCarryingValue,46900000,36000000.0,40400000,424800000,
AccountsReceivableNetCurrent,305300000,287600000,315500000,310500000,
PrepaidLeaseandTransitFranchiseCosts,4000000.0,4500000,9100000,12500000,
OtherPrepaidExpenseCurrent,17800000,19200000,19800000,17800000,
OtherAssetsCurrent,11800000,15700000,5600000,11700000,28000000.0
AssetsCurrent,385800000,397600000,390400000,777300000,
PropertyPlantAndEquipmentNet,648900000,657800000,699800000,647900000,
Goodwill,2006400000,2006400000,2076400000,2077800000,2054000000
FiniteLivedIntangibleAssetsNet,652000000.0,695400000,858500000,614900000,
OperatingLeaseRightOfUseAsset,1503800000,1591900000,1562600000,1485500000,
PrepaidMTAEquipmentDeploymentCostsNoncurrent,,0,363200000,279800000,
OtherAssetsNoncurrent,18300000,19500000,39100000,41500000,
Assets,5215200000,5582900000,5990000000,5924700000,4977200000
AccountsPayableCurrent,51400000,55500000,65400000,64900000,
EmployeeRelatedLiabilitiesCurrent,56700000,41400000,68000000.0,74500000,
InterestAndDividendsPayableCurrent,34500000,34200000,31100000,30700000,
AccruedRentCurrent,82800000,80000000.0,64900000,60100000,
OtherAccruedLiabilitiesCurrent,54300000,56200000,47600000,40300000,
DeferredRevenueCurrent,42800000,37700000,35300000,30900000,
ShortTermBorrowings,10000000.0,65000000.0,30000000.0,0,
OperatingLeaseLiabilityCurrent,168700000,180900000,188100000,187500000,
OtherLiabilitiesCurrent,19600000,18000000.0,21200000,18800000,
LiabilitiesCurrent,520800000,593000000.0,551600000,507700000,
LongTermDebtNoncurrent,2482500000,2676500000,2626000000,2620600000,
DeferredTaxAndOtherLiabilitiesNoncurrent,,0,15200000,17200000,
AssetRetirementObligationsNoncurrent,33900000,33000000.0,37800000,36400000,35900000
OperatingLeaseLiabilityNoncurrent,1351800000,1417400000,1369000000,1308400000,
OtherLiabilitiesNoncurrent,42200000,42000000.0,41200000,43900000,
Liabilities,4431200000,4852800000,4640800000,4534200000,
TemporaryEquityCarryingAmountAttributableToParent,119800000,119800000,119800000,383400000,383400000
CommonStockValue,1700000,1700000,1600000,1500000,
AdditionalPaidInCapital,2493600000,2432200000,2416300000,2119000000,
RetainedEarningsAccumulatedDeficit,-1846200000,-1821100000,-1183400000,-1122000000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-100000,-5800000,-9100000,-4400000,-1300000
StockholdersEquity,649000000.0,607000000.0,1225400000,994100000,1400000
MinorityInterest,1600000,3300000,4000000.0,13000000.0,26500000
TotalEquity,,730100000,1349200000,1390500000,1383700000
LiabilitiesAndStockholdersEquity,5215200000,5582900000,5990000000,5924700000,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,0,34600000,0,,
DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent,0,214300000,0,,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,0,24100000,0,,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,0,90900000,0,,
RedeemableNoncontrollingInterestEquityCarryingAmount,13600000,31300000,27200000,24300000,
