key,2024,2023,2022,2021,2020
NetIncomeLoss,258200000,-430400000,147900000,35600000,-61000000.0
NetIncomeLossAttributableToNoncontrollingInterest,500000,700000,1200000,800000,800000
DepreciationAndAmortization,151500000,160500000,150700000,145400000,145800000
DeferredIncomeTaxExpenseBenefit,-1200000,-100000,4700000,-4700000,-2800000
ShareBasedCompensation,30800000,28400000,33800000,28600000,23800000
ProvisionForDoubtfulAccounts,5700000,5800000,4900000,-4000000.0,20100000
AccretionExpenseIncludingAssetRetirementObligations,2900000,3100000,2800000,2700000,2600000
GainLossOnDispositionOfAssets1,160900000,14200000,-200000,4500000,13700000
GoodwillImpairmentLoss,,,0,2500000,0
GainsLossesOnExtinguishmentOfDebt,-1200000,-8100000,0,-6300000,0
IncomeLossFromEquityMethodInvestments,600000,-1100000,2800000,1400000,-600000
EquityMethodInvestmentDividendsOrDistributions,1100000,1000000.0,1900000,700000,2200000
AmortizationOfFinancingCosts,6100000,6700000,6500000,7100000,6600000
IncreaseDecreaseInReceivables,23300000,4000000.0,11200000,94600000,-60800000
IncreaseDecreaseinPrepaidMTAEquipmentDeploymentCosts,0,21800000,83400000,75200000,33100000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-100000,4900000,-6000000.0,-15000000.0,25500000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,13700000,-4000000.0,-300000,38900000,-12700000
IncreaseDecreaseInOperatingLeaseAssetsAndLiabilities,10200000,10600000,-15400000,400000,10700000
IncreaseDecreaseInDeferredRevenue,5100000,3500000,4500000,1400000,900000
IncreaseDecreaseInAccruedIncomeTaxesPayable,700000,-2600000,1300000,-400000,500000
IncreaseDecreaseInOtherOperatingCapitalNet,500000,4700000,-800000,1800000,-4000000.0
NetCashProvidedByUsedInOperatingActivities,299200000,254200000,254100000,98800000,130600000
PaymentsToAcquirePropertyPlantAndEquipment,78100000,86800000,89800000,73800000,53500000
PaymentsToAcquireBusinessesNetOfCashAcquired,19500000,33700000,353900000,136500000,18100000
PurchaseOfMTAFranchiseRights,12000000.0,-600000,6800000,16500000,23600000
ProceedsFromSaleOfProductiveAssets,317600000,12400000,1300000,2800000,40000000.0
PaymentsToAcquireEquityMethodInvestments,1200000,0,300000,0,0
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,700000,0,0,0,2000000.0
NetCashProvidedByUsedInInvestingActivities,207500000,-107500000,-449500000,-224000000.0,-53200000
ProceedsFromIssuanceOfLongTermDebt,0,450000000.0,0,500000000.0,895000000.0
RepaymentsOfLongTermDebt,200000000.0,400000000.0,0,500000000.0,495000000.0
ProceedsFromLinesOfCredit,145000000.0,120000000.0,30000000.0,0,15000000.0
RepaymentsOfLinesOfCredit,10000000,85000000.0,0,80000000.0,130000000.0
PaymentsOfFinancingCosts,300000,10700000,400000,7300000,7700000
PaymentsOfDebtExtinguishmentCosts,0,6300000,0,4700000,0
ProceedsFromIssuanceOfPrivatePlacement,,,0,0,383400000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,7800000,12500000,11800000,9000000.0,12600000
PaymentsOfDividends,208400000,207000000.0,205800000,57500000,75100000
ProceedsFromPaymentsForOtherFinancingActivities,,0,0,-3700000,0
NetCashProvidedByUsedInFinancingActivities,-495400000,-151500000,-188000000.0,-162200000,573000000.0
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-400000,400000,-1000000.0,200000,700000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,10900000,-4400000,-384400000,-287200000,651100000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,46900000,36000000.0,40400000,424800000,712000000.0
IncomeTaxesPaidNet,11500000,6700000,3300000,1700000,3400000
InterestPaidNet,151600000,150700000,126300000,117800000,127600000
CapitalExpendituresIncurredButNotYetPaid,7000000.0,7700000,8400000,3200000,3300000
MTAFranchiseRightsNotYetPaid,1900000,3000000.0,3100000,4500000,6500000
TaxesWithheldForStockBasedCompensation,,,0,0,200000
NonCashAssetImpairmentCharges,0,511400000,0,2500000,
IncreaseDecreaseInAssetsHeldForSale,2100000,0,0,,
PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,23900000,0,0,,
