key,2024,2023,2022,2021,2020
BillboardRevenue,,1444900000,1384700000,1182300000,978600000
TransitandOtherRevenue,,375700000,387400000,281600000,257700000
Revenues,1830900000,1820600000,1772100000,1463900000,1236300000
DirectOperatingCosts,949000000.0,968300000,911400000,784000000.0,710800000
SellingGeneralAndAdministrativeExpense,447900000,429700000,422100000,368200000,315100000
RestructuringCharges,,,0,0,5800000
GainLossOnDispositionOfAssets1,160900000,14200000,-200000,4500000,13700000
GoodwillImpairmentLoss,,,0,2500000,0
Depreciation,79500000,79300000,77400000,79400000,84500000
AmortizationOfIntangibleAssets,72000000.0,81200000,73300000,66000000.0,61300000
CostsAndExpenses,1405400000,2079000000,1484400000,1295600000,1163800000
OperatingIncomeLoss,425500000,-258400000,287700000,168300000,72500000
InterestIncomeExpenseNonoperatingNet,-156200000,-158400000,-131800000,-130400000,-131100000
GainsLossesOnExtinguishmentOfDebt,-1200000,-8100000,0,-6300000,0
OtherNonoperatingIncomeExpense,1000000.0,300000,-200000,0,100000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,269100000,-424600000,155700000,31600000,-58500000
IncomeTaxExpenseBenefit,11000000.0,4000000.0,9400000,-3400000,1100000
IncomeLossFromEquityMethodInvestments,600000,-1100000,2800000,1400000,-600000
ProfitLoss,258700000,-429700000,149100000,36400000,-60200000
NetIncomeLossAttributableToNoncontrollingInterest,500000,700000,1200000,800000,800000
NetIncomeLoss,258200000,-430400000,147900000,35600000,-61000000.0
EarningsPerShareBasic,1.54,-2.66,0.84,0.05,-0.56
EarningsPerShareDiluted,1.51,-2.66,0.84,0.05,-0.56
WeightedAverageNumberOfSharesOutstandingBasic,161900000,164900000,161100000,145400000,144300000
WeightedAverageNumberOfDilutedSharesOutstanding,170800000,164900000,161800000,146100000,144300000
OtherAssetImpairmentCharges,17900000,534700000,0,,
