key,2024-03-31,2023-12-31,2023-03-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,42400000,36000000.0,,
AccountsReceivableNetCurrent,22000000.0,26700000,,
PrepaidLeaseandTransitFranchiseCosts,3300000,4500000,,
OtherPrepaidExpenseCurrent,15800000,19200000,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,31800000,34600000,,
OtherAssetsCurrent,1100000,1100000,,1600000
AssetsCurrent,359400000,397600000,,
PropertyPlantAndEquipmentNet,39800000,39900000,,
Goodwill,22400000,22900000,,
FiniteLivedIntangibleAssetsNet,51900000,53000000.0,,
OperatingLeaseRightOfUseAsset,85200000,85900000,,
DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent,211100000,214300000,,
OtherAssetsNoncurrent,11800000,12600000,,
Assets,37500000,26000000.0,,
AccountsPayableCurrent,54400000,55500000,,
EmployeeRelatedLiabilitiesCurrent,32200000,41400000,,
InterestAndDividendsPayableCurrent,23200000,34200000,,
AccruedRentCurrent,59200000,80000000.0,,
OtherAccruedLiabilitiesCurrent,56200000,56200000,,
DeferredRevenueCurrent,52400000,37700000,,
ShortTermBorrowings,120000000.0,65000000.0,,
OperatingLeaseLiabilityCurrent,3900000,180900000,,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,21400000,24100000,,
OtherLiabilitiesCurrent,17600000,18000000.0,,
LiabilitiesCurrent,622200000,593000000.0,,
LongTermDebtNoncurrent,1650000000,1650000000,,
AssetRetirementObligationsNoncurrent,4900000,5000000.0,,
OperatingLeaseLiabilityNoncurrent,69700000,70400000,,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,90800000,90900000,,
OtherLiabilitiesNoncurrent,41900000,42000000.0,,
Liabilities,4866800000,4852800000,,
CommitmentsAndContingencies,,,,
TemporaryEquityCarryingAmountAttributableToParent,119800000,119800000,119800000,119800000
CommonStockValue,1700000,1700000,,
AdditionalPaidInCapital,2431900000,2432200000,,
RetainedEarningsAccumulatedDeficit,-1900500000,-1821100000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-8900000,-5800000,,
StockholdersEquity,-8900000,-5800000,1140400000,1225400000
MinorityInterest,3200000,3300000,4100000,4000000.0
TotalEquity,647200000,730100000,1264300000,1349200000
LiabilitiesAndStockholdersEquity,5514000000,5582900000,,
