key,2024-03-31,2023-12-31,2023-03-31,2022-12-31
NetIncomeLoss,-27200000,,-28900000,
NetIncomeLossAttributableToNoncontrollingInterest,100000,,200000,
DepreciationAndAmortization,36100000,,41900000,
DeferredIncomeTaxExpenseBenefit,1000000.0,,1000000.0,
ShareBasedCompensation,7200000,,7800000,
ProvisionForDoubtfulAccounts,1100000,,1400000,
AccretionExpenseIncludingAssetRetirementObligations,800000,,800000,
GainLossOnDispositionOfAssets1,-100000,,-300000,
IncomeLossFromEquityMethodInvestments,-200000,,-800000,
EquityMethodInvestmentDividendsOrDistributions,700000,,800000,
AmortizationOfFinancingCosts,1600000,,1600000,
IncreaseDecreaseInReceivables,-34900000,,-54000000.0,
IncreaseDecreaseinPrepaidMTAEquipmentDeploymentCosts,0,-385000000.0,18800000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,2000000.0,,1000000.0,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-41600000,,-70900000,
IncreaseDecreaseInOperatingLeaseAssetsAndLiabilities,3600000,,4200000,
IncreaseDecreaseInDeferredRevenue,14700000,,19500000,
IncreaseDecreaseInAccruedIncomeTaxesPayable,1200000,,-4200000,
IncreaseDecreaseInAssetsHeldForSale,500000,,0,
IncreaseDecreaseInOtherOperatingCapitalNet,1400000,,1100000,
NetCashProvidedByUsedInOperatingActivities,30600000,,9400000,
PaymentsToAcquirePropertyPlantAndEquipment,18400000,,22600000,
PaymentsToAcquireBusinessesNetOfCashAcquired,6000000.0,,5100000,
PurchaseOfMTAFranchiseRights,0,,100000,
ProceedsFromSalesOfBusinessAffiliateAndProductiveAssets,5400000,,100000,
NetCashProvidedByUsedInInvestingActivities,-19000000.0,,-27700000,
ProceedsFromShortTermDebt,65000000.0,,85000000.0,
RepaymentsOfLinesOfCredit,10000000.0,,0,
PaymentsOfFinancingCosts,100000,,0,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,7400000,,12300000,
PaymentsOfDividends,2200000,,2200000,
NetCashProvidedByUsedInFinancingActivities,-4900000,,20700000,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-300000,,0,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,6400000,,2400000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,42400000,36000000.0,42800000,40400000
IncomeTaxesPaidNet,100000,,3600000,
InterestPaidNet,51200000,,49200000,
CapitalExpendituresIncurredButNotYetPaid,8000000.0,,5900000,
MTAFranchiseRightsNotYetPaid,0,,3000000.0,
TaxesWithheldForStockBasedCompensation,100000,,0,
