key,2024-03-31,2023-12-31,2023-03-31,2022-12-31
BillboardRevenue,313900000,,306100000,
TransitandOtherRevenue,300000,,1800000,
Revenues,18900000,,19400000,
DirectOperatingCosts,238700000,,5200000,
SellingGeneralAndAdministrativeExpense,110500000,,107900000,
GainLossOnDispositionOfAssets1,-100000,,-300000,
AssetImpairmentCharges,9100000,,0,
Depreciation,18500000,,20100000,
AmortizationOfIntangibleAssets,17600000,,21800000,
CostsAndExpenses,394500000,,385600000,
OperatingIncomeLoss,14000000.0,,10200000,
InterestIncomeExpenseNonoperatingNet,-41400000,,-37700000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-27400000,,-27500000,
IncomeTaxExpenseBenefit,-500000,,400000,
IncomeLossFromEquityMethodInvestments,-200000,,-800000,
ProfitLoss,-27100000,,-28700000,
NetIncomeLossAttributableToNoncontrollingInterest,100000,,200000,
NetIncomeLoss,-27200000,,-28900000,
EarningsPerShareBasic,-0.18,,-0.19,
EarningsPerShareDiluted,-0.18,,-0.19,
WeightedAverageNumberOfSharesOutstandingBasic,165400000,,164500000,
WeightedAverageNumberOfDilutedSharesOutstanding,165400000,,164500000,
