key,2025-04-30,2025-03-31,2024-12-31,2024-06-30,2024-06-07,2024-03-31,2023-12-31
CashAndCashEquivalentsAtCarryingValue,,30500000,46900000,,,,
AccountsReceivableNetCurrent,,258500000,305300000,,,,
PrepaidLeaseandTransitFranchiseCosts,,3900000,4000000.0,,,,
OtherPrepaidExpenseCurrent,,17400000,17800000,,,,
OtherAssetsCurrent,,11000000.0,11800000,,,,
AssetsCurrent,,321300000,385800000,,,,
PropertyPlantAndEquipmentNet,,648800000,648900000,,,,
Goodwill,,2006400000,2006400000,,,,
FiniteLivedIntangibleAssetsNet,,8800000,9700000,,,,
OperatingLeaseRightOfUseAsset,,83000000.0,1503800000,,,,
OtherAssetsNoncurrent,,17600000,18300000,,,,
Assets,,5132300000,5215200000,,,,
AccountsPayableCurrent,,42400000,51400000,,,,
EmployeeRelatedLiabilitiesCurrent,,37700000,56700000,,,,
InterestAndDividendsPayableCurrent,,23000000.0,34500000,,,,
AccruedRentCurrent,,59600000,82800000,,,,
OtherAccruedLiabilitiesCurrent,,57100000,54300000,,,,
DeferredRevenueCurrent,,59500000,42800000,,,,
ShortTermBorrowings,,50000000.0,10000000.0,,,,
OperatingLeaseLiabilityCurrent,,4300000,168700000,,,,
OtherLiabilitiesCurrent,,23100000,19600000,,,,
LiabilitiesCurrent,,529800000,520800000,,,,
LongTermDebtNoncurrent,,1650000000,1650000000,,,,
AssetRetirementObligationsNoncurrent,,34200000,33900000,,,,
OperatingLeaseLiabilityNoncurrent,,87800000,1351800000,,,,
OtherLiabilitiesNoncurrent,,42600000,42200000,,,,
Liabilities,,4426600000,4431200000,,,,
CommitmentsAndContingencies,,,,,,,
RedeemableNoncontrollingInterestEquityCarryingAmount,,17400000,13600000,38200000,,34900000,31300000
TemporaryEquityCarryingAmountAttributableToParent,,119800000,119800000,,,119800000,119800000
CommonStockValue,,1700000,1700000,,,,
AdditionalPaidInCapital,,2484400000,2493600000,,,,
RetainedEarningsAccumulatedDeficit,,-1919100000,-1846200000,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,-100000,-100000,,,,
StockholdersEquity,,-100000,-100000,628700000,,490900000,577300000
MinorityInterest,,1600000,1600000,1600000,,1600000,1700000
LiabilitiesAndStockholdersEquity,,5132300000,5215200000,,,,
