key,2025-04-30,2025-03-31,2024-12-31,2024-06-30,2024-06-07,2024-03-31,2023-12-31
NetIncomeLoss,,-20600000,,149600000,,-27200000,
NetIncomeLossAttributableToNoncontrollingInterest,,-100000,,,,100000,
DepreciationAndAmortization,,40700000,,,,36100000,
DeferredIncomeTaxExpenseBenefit,,0,,,,1000000.0,
ShareBasedCompensation,,9500000,,,,7200000,
ProvisionForDoubtfulAccounts,,1500000,,,,1100000,
AccretionExpenseIncludingAssetRetirementObligations,,700000,,,,800000,
GainLossOnDispositionOfAssets1,,-100000,,,,-100000,
IncomeLossFromEquityMethodInvestments,,1900000,,,,-200000,
EquityMethodInvestmentDividendsOrDistributions,,300000,,,,700000,
AmortizationOfFinancingCosts,,1500000,,,,1600000,
IncreaseDecreaseInReceivables,,-45300000,,,,-34900000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,-800000,,,,2000000.0,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-67800000,,,,-41600000,
IncreaseDecreaseInOperatingLeaseAssetsAndLiabilities,,2100000,,,,3600000,
IncreaseDecreaseInDeferredRevenue,,16700000,,,,14700000,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,500000,,,,1200000,
IncreaseDecreaseInAssetsHeldForSale,,0,,,,500000,
IncreaseDecreaseInOtherOperatingCapitalNet,,-4300000,,,,1400000,
NetCashProvidedByUsedInOperatingActivities,,33600000,,,,30600000,
PaymentsToAcquirePropertyPlantAndEquipment,,17200000,,,,18400000,
PaymentsToAcquireBusinessesNetOfCashAcquired,,5700000,,,,6000000.0,
PurchaseOfMTAFranchiseRights,,4000000.0,,,,0,
ProceedsFromSalesOfBusinessAffiliateAndProductiveAssets,,700000,,,410000000.0,5400000,
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,,1500000,,,,0,
NetCashProvidedByUsedInInvestingActivities,,-24700000,,,,-19000000.0,
ProceedsFromLinesOfCredit,,50000000.0,,,,65000000.0,
RepaymentsOfLinesOfCredit,10000000.0,10000000.0,,,,10000000.0,
PaymentsOfFinancingCosts,,0,,,,100000,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,,12300000,,,,7400000,
PaymentsOfDividends,,2200000,,,,2200000,
NetCashProvidedByUsedInFinancingActivities,,-25300000,,,,-4900000,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,0,,,,-300000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,,-16400000,,,,6400000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,30500000,46900000,,,42400000,36000000.0
IncomeTaxesPaidNet,,0,,,,100000,
InterestPaidNet,,46200000,,,,51200000,
CapitalExpendituresIncurredButNotYetPaid,,13400000,,,,8000000.0,
MTAFranchiseRightsNotYetPaid,,1600000,,,,0,
TaxesWithheldForStockBasedCompensation,,2600000,,,,100000,
