key,2025-04-30,2025-03-31,2024-12-31,2024-06-30,2024-06-07,2024-03-31,2023-12-31
Revenues,,388400000,,,,389600000,
DirectOperatingCosts,,54100000,,,,58000000.0,
SellingGeneralAndAdministrativeExpense,,84100000,,,,81600000,
GainLossOnDispositionOfAssets1,,-100000,,,,-100000,
AssetImpairmentCharges,,0,,,,9100000,
Depreciation,,23600000,,,,18500000,
AmortizationOfIntangibleAssets,,17100000,,,,17600000,
CostsAndExpenses,,376800000,,,,394500000,
OperatingIncomeLoss,,13900000,,,,14000000.0,
InterestIncomeExpenseNonoperatingNet,,-36000000.0,,,,-41400000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,-22100000,,,,-27400000,
IncomeTaxExpenseBenefit,,500000,,,,-500000,
IncomeLossFromEquityMethodInvestments,,1900000,,,,-200000,
ProfitLoss,,-20700000,,,,-27100000,
NetIncomeLossAttributableToNoncontrollingInterest,,-100000,,,,100000,
NetIncomeLoss,,-20600000,,149600000,,-27200000,
EarningsPerShareBasic,,-0.14,,,,-0.18,
EarningsPerShareDiluted,,-0.14,,,,-0.18,
WeightedAverageNumberOfSharesOutstandingBasic,,166400000,,,,161400000,
WeightedAverageNumberOfDilutedSharesOutstanding,,166400000,,,,161400000,
