key,2024,2023,2022,2021,2020
LiabilitiesAndStockholdersEquity,95328909000,93020840000,87897448000,58486220000,
PartnersCapitalIncludingPortionAttributableToNoncontrollingInterest,58616770000,57823720000,57863093000,37742210000,63948000
PartnersCapital,55293723000,54499445000,54545326000,34344672000,
LimitedPartnersCapitalAccount,913227000,848160000,843263000,557097000,
GeneralPartnersCapitalAccount,63948000,63948000,63948000,63948000,
LiabilitiesAndPartnersCapitalIncludingPortionAttributableToNoncontrollingInterest,,,87897448000,58486220000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,58616770000,57823720000,57863093000,37742210000,63948000
MinorityInterest,4665632000,4641996000,4625811000,4315337000,
StockholdersEquity,53951138000,53181724000,53237282000,33426873000,
RetainedEarningsAccumulatedDeficit,-465913000,-627068000,-457695000,-1327828000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-120215000,-514201000,-443609000,-878253000,
AdditionalPaidInCapital,54464055000,54249801000,54065407000,35561608000,
CommonStockValue,9263000,9244000,9231000,7398000,
PreferredStockValue,63948000,63948000,63948000,63948000,
Liabilities,36712139000,35197120000,30034355000,20744010000,
OtherLiabilities,4063549000,4430601000,4446509000,1776189000,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,1769327000,1766018000,1711885000,1252767000,
LongTermDebt,30879263000,29000501000,23875961000,17715054000,
Assets,95328909000,93020840000,87897448000,58486220000,
OtherAssets,5194342000,4749735000,4801499000,3312454000,
CashAndCashEquivalentsAtCarryingValue,1318591000,530388000,278483000,556117000,598000000
RealEstateInvestments,88815976000,87740717000,82817466000,54617649000,
AssetsHeldForSaleOrContribution,248511000,461657000,531257000,669688000,
RealEstateInvestmentsUnconsolidatedRealEstateAndOtherJointVentures,10079448000,9543970000,9698898000,8610958000,
RealEstateInvestmentPropertyNet,78488017000,77735090000,72587311000,45337003000,
RealEstateInvestmentPropertyAccumulatedDepreciation,12758159000,10931485000,9036085000,7668187000,
RealEstateInvestmentPropertyAtCost,91246176000,88666575000,81623396000,53005190000,
