key,2024,2023,2022,2021,2020
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,1318591000,530388000,278483000,556117000,598086000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,788203000,251905000,-277634000,-41969000,-490769000
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,-24992000,-22038000,-20796000,-39628000,18718000
NetCashProvidedByUsedInFinancingActivities,-999957000,1320282000,115789000,-1008325000,-372162000
ProceedsFromIssuanceOfDebtExcludingLineOfCredit,4505830000,5755096000,4116489000,3597690000,7824517000
RepurchaseOfAndRepaymentsOnDebtExcludingLineOfCredit,919481000,272203000,1381005000,2560174000,6782306000
ProceedsFromRepaymentsOfLinesOfCredit,,-567076000,294164000,323336000,-10959000
PaymentOfFinancingAndStockIssuanceCosts,30966000,58660000,45654000,23318000,54204000
TaxesPaidForSharesOfParentWithheld,,,27688000,19855000,24887000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,30526000,24536000,27688000,19855000,24887000
PaymentsForRepurchaseOfCommonStock,1650000,69807000,88980000,153236000,116978000
PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,1650000,69807000,88980000,153236000,116978000
PaymentsToMinorityShareholdersExcludingParentCompanyDistributions,295701000,235050000,270109000,375054000,361636000
ProceedsFromMinorityShareholders,73094000,21107000,13295000,74404000,917092000
PaymentsOfDividends,3570480000,3228589000,2494723000,1872861000,1722989000
PaymentsForRepurchaseOfPreferredStock,,,0,0,7200000
PaymentsForRepurchaseOfEquity,,,0,0,34829000
ProceedsFromIssuanceOrSaleOfEquity,,0,0,743000,2217000
NetCashProvidedByUsedInInvestingActivities,-3099057000,-6419397000,-4499057000,-1990058000,-3074330000
PaymentsForHedgeInvestingActivities,3002000,2230000,3458000,16513000,9034000
ProceedsFromHedgeInvestingActivities,16021000,37113000,59281000,3305000,2352000
ProceedsFromCollectionOfNotesReceivable,0,37000000,0,0,4312000
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,58339000,348276000,76994000,58275000,257065000
PaymentsToInvestmentsInAndAdvancesToUnconsolidatedEntities,540559000,284185000,442366000,798103000,385936000
ProceedsFromRealEstateAndRealEstateJointVentures,3790388000,1764322000,2063623000,4222290000,2281940000
PaymentForPropertyImprovements,386481000,303042000,211358000,169933000,149491000
PaymentsForLeasingCostsCommissionsAndTenantImprovements,499927000,388814000,339234000,329059000,221491000
PaymentsToAcquireBusinessesNetOfCashAcquired,0,33009000,92052000,0,0
PaymentsToAcquireRealEstate,2327605000,4195714000,2492108000,2320448000,1239034000
PaymentsToDevelopRealEstateAssets,3206231000,3399114000,3118379000,2639872000,1920218000
NetCashProvidedByUsedInOperatingActivities,4912209000,5373058000,4126430000,2996042000,2937005000
IncreaseDecreaseInOperatingLiabilities,194548000,255059000,109030000,176858000,94105000
IncreaseDecreaseInOperatingAssets,,102610000,71307000,328511000,127619000
DeferredIncomeTaxExpenseBenefit,21161000,17708000,12638000,1322000,744000
GainsLossesOnExtinguishmentOfDebt,536000,3275000,-20184000,-187453000,-188290000
ForeignCurrencyTransactionGainLossUnrealized,67335000,-71627000,92201000,173026000,-160739000
GainsOnOtherDispositionsOfInvestmentsInRealEstateNet,904136000,161039000,589391000,772570000,252195000
GainsOnDispositionsOfDevelopmentPropertiesAndLandNet,413743000,462270000,597745000,817017000,464942000
AmortizationOfFinancingCostsAndDiscounts,78885000,74589000,23736000,8656000,7859000
IncreaseDecreaseInOperatingReceivablesFromUnconsolidatedEntities,-20532000,82375000,63947000,14223000,-14670000
EquityMethodInvestmentDividendsOrDistributions,562475000,680192000,410483000,440034000,450622000
IncomeLossFromEquityMethodInvestments,353623000,307227000,310872000,404255000,297370000
DepreciationAndAmortization,2580519000,2484891000,1812777000,1577942000,1561969000
ShareBasedCompensation,231747000,267648000,175356000,113028000,109831000
StraightLineRentsAndAmortizationOfAboveAndBelowMarketLeases,644606000,613005000,267709000,148239000,126328000
ProfitLoss,3947935000,3253145000,3555398000,3148590000,1616630000
PaymentsToRealEstateAndOtherDevelopment,,3399114000,3118379000,2639872000,
ProceedsFromIssuanceOfCommonPartnershipUnitsInExchangeForContributionsFromParent,,0,0,743000,
IncreaseDecreaseInOtherOperatingAssets,341614000,102610000,71307000,,
NetProceedsFromPaymentsOnCreditFacilitiesAndCommercialPaper,-730077000,-567076000,294164000,,
